#OTU ID	NLF008	DLM017	DLM015	DOF004	DOF003	DLM027	DOM019	DLM021	DOM020	DLM018	DOM022	DOF006	DOM003	DOM008	DLF009	DOM016	DLM022	DOM018	DLM016	DOM001	DLM001	DLM023	DLF014	DOM010	DLM024	DLM011	DLF013	DOM026	DLF001	DLM014	DLM020	DLM028	DLF012	DLM010	DOM013	DOF008	DLM013	DOF009	DOM021	DLM002	DLM012	DLF002	DOM015	NLF012	DOF010	DLM007	DOM023	DOM024	DLM003	DLM019	DOM012	DLF004	DOM005	NLF001	NLF009	NLF002	DOF014	DOF007	DLM009	DLM008	NLF005	DOF012	DOM025	NLF010	DLF005	DOF011	NLF007	DOF002	DOF013	DLM006	DOM014	DLF003	DLF010	NLF006	DLM004	DLF006	DLM005	DLF007	DLF008	NOF012	NLM024	NLM028	NLM006	NOM002	NOM009	NLM010	NOM014	NOM016	NOM015	NOF008	NLM029	NOM020	NLM007	NLM027	NOM010	NOF002	NLM026	NOF005	NLM031	NLM021	NOM017	NLM004	NLM022	NOF010	NOM005	NOM001	NOM019	NLF013	NOM028	NLF015	NOM025	NLM032	NOM027	NOM029	NLM002	NLM008	NOF009	NOM004	NOF013	NLM001	NOM023	NOF001	NOM026	NOF006	NOF011	NOF007	NOF004	NLM009	NLM025	NLM023	NLM016	NOM012	NOM013	NOM007
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris;t__Bacteroides_stercoris_ATCC_43183	434256	82677	570651	1112340	11908	261	364036	952701	1860	31912	295749	5961	6324	808581	14931	433994	9889	1409399	448017	52774	213724	467594	1801	470369	240	62009	303116	15376	1834	223229	520844	5683	571	286380	705548	1099	515698	7611	83338	12103	532	137	275697	530796	4082	34683	10969	45983	41150	3254	149	20872	682	424	6710	317	57386	748	249	23462	26869	41	9714	24727	2033	18799	399	485	133	2042	1045	935	2951	1146	0	0	0	0	0	136316	25432	186311	141463	5703	20712	5211	1280651	9933	9103	392773	4362	164992	939993	12373	154860	34	70785	10541	217710	66819	5893	668	4761	237366	4021	18763	49307	204828	137247	9246	2860	163163	2734	522	60900	2350	82849	457	301	7975	595	1759	1505	51681	816	71090	749	793	1513	1	0	0	0	2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	234298	112265	230895	186541	209314	33434	253033	211215	7976	77960	176860	231470	56786	175905	31635	103306	63665	127043	183057	107712	263610	129733	27683	276839	1594	16821	127748	78724	13018	130937	120838	79451	43719	227873	119034	16317	70007	10486	20193	14474	19970	9992	94073	233013	3665	8552	9727	10796	8452	45205	1129	9232	3869	8187	10792	6171	9536	8758	1015	11132	12871	781	2948	10975	7138	5843	7404	7403	1902	11282	1892	3571	4249	2992	0	1	0	0	0	107485	117289	148849	218382	40359	29402	110150	309895	83342	108515	169727	113532	143068	237795	1229	224393	6586	69709	123084	127750	121671	24954	50513	100102	123532	34431	57623	68763	123115	128304	152770	31308	61631	8584	6221	148136	7595	11843	9186	8914	8567	3855	9881	570	7208	9003	12862	8930	4945	6160	5	1	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_ATCC_15703	0	42	2	370	4	3404	36	1536	0	45242	53	8	223019	0	2463	7	56	20873	7	1	5897	0	2368	0	0	1	712	2	0	0	409	15	15	358	27	10535	419	3529	0	25	19365	0	0	0	530	0	0	0	0	855	25	0	0	0	0	0	51	0	0	0	0	1	25	0	6	0	0	0	1	1	4	3	1	2	0	0	0	0	0	175	0	422	53	1326	87	21	13621	1	1	3	0	1373	0	3037	0	0	573	3	1	0	11516	1888	349	34	65	548	81	43	2593	136	0	473	38090	1	23	5	0	0	0	0	0	14	2	2	0	3	17	0	1	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	0	0	8	0	0	0	230	0	0	0	40	0	0	0	0	0	276306	0	13	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10771	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	143	0	663	2207	0	0	0	0	0	0	0	0	0	0	7	94	0	0	0	284	0	0	0	0	285	0	0	21907	2948	31	655	288	3804	26	0	12	0	0	0	0	1	0	9	0	1	0	0	0	0	0	69	0	0	0	0	0	0	0	0	86	0	0	0	0	0
	1160	450	812	1251	392	176	196	196	27	379	502	2671	5817	2341	18701	1651	8793	178	234	767	450	656	4095	269	35102	101	510	557	77	161	1167	2875	3996	1013	533	1972	974	90	37	71	1849	55	577	543	163	110	13	17	79	342	22	23	21	106	87	46	132	67	293	75	40	39	18	42	84	7	81	118	5	87	6	33	42	5	0	0	0	0	0	316	1006	1201	1303	983	765	285	516	202	397	525	543	892	527	2835	388	122	89	468	2768	181	195	654	4458	883	10123	333	448	178	1567	833	1286	792	1004	150	1963	60	76	234	89	112	6	83	27	82	16	61	33	97	87	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_arboriphilus;t__Methanobrevibacter_arboriphilus_ANOR1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	8292	2189	2847	4264	3072	3951	2404	1821	254	2543	2936	3449	8709	2280	8109	4149	7512	2152	4420	3756	2406	4377	7429	4029	35616	200	2433	6244	299	3248	1946	6366	8974	2542	5094	6870	5621	245	582	467	7078	310	3015	4155	389	278	209	302	348	6366	107	127	86	126	288	239	252	134	1163	309	387	145	30	210	262	117	520	407	68	305	57	221	382	48	0	0	0	0	0	3377	5332	5953	4906	8068	4304	6177	3864	3281	1882	3939	4826	5191	3389	8121	2731	282	3510	4343	4424	2732	4699	4684	5767	2505	12774	1807	3400	3330	4433	2697	3345	6823	7026	588	3431	492	218	258	318	369	23	309	89	220	211	316	294	553	199	1	0	0	0	0
