#OTU ID	ITS3.DD115	ITS3.DD29	DIET25	ID138	DD47	ID92	ITS3.DD136	ID44	ITS3.DD138	ITS3.DD110	ITS3.DIET14	ID123	ID99	ITS3.DD102	ID209	ID205	ITS3.DD119	ITS3.DD116	ID7	DD68	DD167	ITS3.ID98	ID58	DIET23	DD42	ID240	ITS3.DD46	ID45	DD38	DD31	ID30	ID110	DD138	ID21	ID214	DD130	ID167	ID217	ID133	ID120	ID42	DD5	ID87	DD20	ID115	DD48	DD149	DD155	ID3	ID239	ID262	ID47	ID46	ID221	ID128	DD150	ID56	DD58	ID27	ID260	ID18	ID51	ID113	ID35	DD151	ID188	ID104	ID39	ID38	ID235	ID40	DD114	DD102	ID127	ID210	ID89	ID211	ID54	ID129	DD157	ID263	ID216	DD89	ID6	ID265	ID241	DD152	DD93	ID8	ID34	ID29	DD121	ID117	ID112	ID266	ID90	ID255	DD15	ID261	DD154	DD161	ITS3.DD143	DIET49	ITS3.ID214	DD17	ITS3.DD33	DIET37	DIET24	DIET35	DIET47	DIET43	DIET48	DIET41	DIET36	DIET15	DIET19	ID55	DD120	ID237	ID109	ITS3.DD43	ID264	ITS3.DD53	ITS3.ID207	ITS3.ID246	ID5	DD29	DD33	ITS3.ID124	ITS3.DD24	DIET42	ITS3.ID145	ITS3.DD27	ID220	DD118	DD12	ID50	ID59	ITS3.DD98	ITS3.DD7	ITS3.DD137	DD162	DD160	ITS3.DD123	DD13	DIET52	ITS3.DD17	ITS3.ID135	ITS3.DD30	DD27	ITS3.ID126	ITS3.DD155	ITS3.DD107	ITS3.ID129	ITS3.ID115	ITS3.DD38	ITS3.ID128	ID140	ITS3.DD79	ITS3.ID140	ITS3.DIET16	ITS3.DIET18	ITS3.DD96	ID100	ITS3.ID170	DD145	ID32	ID16	ID31	DD106	DD10	DD81	ID43	ID49	ID28	ID64	DD123	ID225	DD83	DD134	DD25	DD113	DD85	ID155	ID63	DD107	DD90	ID132	ID52	DD146	ID37	ID98	ID259	DD82	ID4	ITS3.DD146	DIET26	ITS3.DD31	ITS3.DD58	ITS3.DIET4	DIET27	ID60	DIET34	ITS3.DIET22	ITS3.DD34	ID86	ID254	ID61	ID256	ID33	ID95	ID83	DD136	DD116	ID106	ID153	DD110	DD18	DD2	DD133	DD65	DD59	DD80	ID131	ID103	ID134	ID85	DD28	DD137	DD169	DD3	ID36	ID238	ID156	DD7	ID25	ID57	DD111	DD140	ITS3.ID177	DD141	ITS3.DIET20	DD97	DD70	DD168	ID135	ITS3.DIET43	ITS3.DD99	ITS3.DD32	ID17	ITS3.DD87	ITS3.ID87	ITS3.DD10	ID230	ID9	DD8	DIET28	DD24	DD6	DD63	ITS3.DD65	DIET33	DIET20	DIET8	ID257	ITS3.DIET54	DD98	DD36	DD125	ITS3.DD86	DIET16	ITS3.DIET6	ITS3.DD4	DD71	DD128	DD112	ID231	DD119	DD53	DD132	DD108	DD23	ID136	DD64	DD86	DD84	ID53	DD22	ID258	DD72	ITS3.ID55	ITS3.DD67	DD164	DD79	DD96	DD144	DD153	DD87	DD67	DD43	DD34	DD104	ITS3.DD130	ID91	ITS3.DD149	ITS3.DD36	DIET7	ITS3.DD68	ITS3.DD45	ITS3.DIET8	DIET55	ITS3.ID119	ITS3.DIET31	ITS3.DD5	ITS3.DD75	DD135	ITS3.DD21	ITS3.ID191	ITS3.DD61	ITS3.DD129	ITS3.DD151	DD30	ITS3.DD48	ITS3.ID217	ID97	DIET56	DIET51	ITS3.ID97	DD148	ITS3.DD77	DIET9	ITS3.DD47	ID125	DD61	DD44	ITS3.ID83	ID124	DD4	DD115	ITS3.DD51	ITS3.DD140	ITS3.DD28	ITS3.ID92	ITS3.ID100	ITS3.DD13	ITS3.DD139	ITS3.ID85	ITS3.DD141	DD39	ITS3.DD59	DIET45	DIET32	DIET46	DIET30	DIET38	ITS3.ID43	ITS3.DIET56	DD32	ITS3.DD3	DD139	ITS3.ID95	DIET39	DD147	DD129	DD21	DIET6	ITS3.DD84	DD122	ITS3.DD20	ITS3.ID109	DIET21	DIET22	DD60	ITS3.ID221	DIET5	DD14	DIET50	ITS3.DD122	ITS3.DD125	ITS3.DD144	ITS3.ID201	ITS3.ID104	ITS3.DD70	ITS3.DD25	ITS3.ID117	DIET4	ITS3.DD64	ITS3.DD124	ITS3.ID256	ITS3.DIET25	DIET44	ITS3.DD85	ITS3.DD22	ITS3.DD132	ITS3.ID162	DIET3	ITS3.ID134	ITS3.ID113	ITS3.ID89	ITS3.DD42	ITS3.DD15	ITS3.DD112	ITS3.DD153	ITS3.DD121	ITS3.DD44	ITS3.DD90	ITS3.ID86	ITS3.DD23	ITS3.DIET34	ITS3.DD63	ITS3.DD89	DIET14	DIET53	DIET1	ITS3.ID199	DIET10	ITS3.ID209	ITS3.DD120	DIET13	ITS3.ID90	DIET2	DIET17	DIET18	ITS3.DD12	DIET54	ITS3.ID131	ITS3.DD92	ITS3.DD148	ITS3.ID132	DIET31	ITS3.DD108	ITS3.DD18	DIET29	ITS3.DD14	ITS3.DIET37	DIET40	ITS3.ID8	ITS3.ID110	ITS3.ID223	ITS3.ID106	ITS3.DD105	ITS3.ID220	ITS3.DD39	ITS3.DD80	ITS3.ID56	ITS3.ID127	ITS3.ID103	ITS3.ID99	ITS3.DD134	ITS3.ID231	DIET12	ITS3.DD60	ITS3.DD41	ITS3.ID136	DIET11	ITS3.DD113	ITS3.DD6	ITS3.ID138	ITS3.ID47
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Microbacter	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	51	0	0	21863	802	451	13	3589	0	6	0	2985	1463	35	1175	528	47	91	252	154	674	0	1765	0	303	1942	0	981	228	212	709	2731	56	628	3272	327	4470	4905	2351	1690	1594	229	660	484	4322	678	6206	1634	2270	852	183	697	295	2402	893	426	1375	275	2217	253	3267	242	1573	2281	1874	3062	1189	618	227	451	44	1088	833	726	1425	1311	5056	777	671	507	147	1955	461	67	859	130	1640	380	40	483	204	80	140	629	741	905	654	509	286	439	522	6	0	0	179	0	0	0	0	0	0	0	0	0	0	0	1308	1	249	1144	0	9	1	0	0	257	32	198	0	0	0	1	0	535	305	550	510	1096	3	0	0	871	548	3	269	0	0	2	0	134	1	1	13	0	0	0	10	7	0	2	0	0	6	485	0	121	485	491	57	119	414	73	189	357	29	186	70	264	341	121	129	81	137	1221	516	99	188	366	88	313	67	422	107	204	15	1	0	2	0	0	0	74	7	0	0	47	32	477	728	56	684	63	145	63	490	63	310	706	72	19	308	45	19	16	50	410	897	255	364	320	140	51	1	23	5	15	11	33	327	0	179	0	1	70	295	1	1	0	0	11	0	6	0	10	11	195	0	21	727	84	0	2	0	0	40	1	153	628	805	0	0	0	0	344	0	39	32	166	102	48	13	245	3	138	16	180	15	285	82	133	0	0	28	66	83	187	0	420	92	457	266	339	3	8	0	0	0	0	0	0	0	0	0	0	1	354	0	0	0	1	0	45	0	0	4	0	0	2	5	1	0	0	1	269	390	0	26	92	50	0	1	0	0	0	1	1	0	4	3	0	0	1	0	0	0	3	0	2	0	2	0	0	0	134	0	0	1	1	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	18	0	0	80	47	700	8	14	0	1	3	948	48	14	48	24	21	32	412	81	465	1	176	0	76	330	2	57	170	73	68	70	22	1177	10	34	33	4	46	73	6	262	189	240	397	19	91	10	23	248	57	441	94	2511	455	101	0	164	100	2456	111	169	147	134	25	24	486	337	265	83	321	230	86	272	7	399	2	180	16	24	244	419	21	49	518	26	29	1	892	417	147	84	5	23	75	870	68	201	112	1337	77	2	0	4	67	0	0	0	0	0	0	0	0	0	3	0	115	298	103	136	0	0	1	2	0	59	60	43	0	1	0	0	0	656	33	41	815	627	1	2	0	32	414	1	9	0	0	1	0	54	0	0	3	1	1	0	1	1226	0	0	0	1	2	33	0	504	135	241	604	213	212	19	45	906	61	252	121	2431	4	169	100	43	34	393	327	462	11	99	43	190	1232	3	729	239	473	0	0	1	3	1	0	50	1	3	0	15	3	511	348	123	100	28	769	17	217	68	224	658	448	13	294	51	0	496	36	106	218	218	6	579	284	91	304	2036	698	30	1	26	17	0	37	0	311	104	136	432	0	0	0	37	0	2	1	1392	2507	29	0	42	209	27	0	0	0	0	416	5	9	39	405	0	0	0	0	1969	576	56	950	50	2	161	688	1034	876	11	11	9	1046	6	22	308	0	0	67	346	102	139	651	4	394	161	420	453	0	114	1	0	2	0	1	1	0	1	0	2	1	19	0	1	1	1	0	9	0	0	955	0	0	0	172	1	0	1	1131	8	6	0	13	69	30	0	0	0	0	0	0	2	0	0	444	0	0	0	0	0	0	0	0	317	0	327	0	0	443	67	508	0	0	391	0	0	0	0	153	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter millerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;t__Methanobrevibacter smithii ATCC 35061	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	95	872	0	0	0	14	29	0	0	462	26	0	0	2	0	0	0	0	0	0	0	0	61	0	0	0	0	32	0	0	14	10	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	81	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	28	0	0	0	0	59	20	79	0	0	0	0	0	0	0	3	3	0	5	0	0	0	0	0	0	0	2	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	15	0	117	0	0	0	0	0	973	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	370	22	0	12076	14793	21230	97	33954	4	19	88	16842	39415	219	19847	12005	330	515	15992	3515	14688	16	15091	1	7429	21636	19	25414	10402	6519	28468	32804	2303	22729	37935	10570	54962	26624	19612	18060	32730	9761	14215	11348	30679	15055	5214	28921	36825	15599	8771	22322	13976	33226	15786	17393	30015	11272	32817	34239	27149	20485	20486	33315	13877	30409	35268	22980	29115	28390	23975	10694	9595	27850	32375	42259	50632	43096	16501	13225	12375	35895	3214	27494	17315	37588	26864	4449	36576	37106	19987	2313	13054	16132	19384	25068	35891	6784	11809	28926	18626	31	0	13	7629	15	5	1	1	1	3	0	2	10	0	11	38788	177	11238	49174	0	14804	11	37	10	20585	9406	8144	3	11	0	13	7	19074	8791	11687	28772	38495	28	4	7	20926	14954	22	10343	2	4	29	11	3960	4	2	43	0	3	7	58	3469	4	3	11	4	36	34801	19	5787	37687	26579	25941	5017	10069	3910	10396	24710	14198	11204	2788	47166	7055	4511	5125	4539	5173	33685	17331	8917	4657	10309	34288	8945	16253	28092	9758	9347	1276	6	4	24	45	25	3	27944	189	28	16	29301	33539	18748	22461	29531	16427	26405	9474	5528	34749	28199	6487	13105	8684	7628	9066	12163	3156	24080	33719	13087	37908	7548	10321	8890	9540	37250	748	1525	194	7862	18214	11806	5797	14	4940	18	355	5438	13789	241	10	10	6	9204	4	21	15	1781	1878	8752	127	3732	9818	8659	6	179	7	1	38666	43	6677	12171	9772	6	0	8	16	6979	167	12766	35414	9745	9774	4117	228	11987	603	10042	11337	7130	31155	7489	6981	2488	3	2	34722	4540	4524	7616	482	7157	4972	14421	7855	11924	10	24646	12	4	0	12	4	18	0	2	13	9	6	5121	0	10	2	3	4	3562	9	4	1650	1	1	15	477	2	0	6	592	5624	6019	6	2446	6098	960	3	6	5	5	0	14	4	0	10	423	4	0	10	8	0	103	8	18	247	9	167	2	1	137	8097	157	0	3	159	6	2	2	0	263	9	0	20	2	3	2	0	3	2	0	2	1	0	0	0	7	1	16	0	0	2	1	0	4	8	18	0	1	0	0	0	5	6	1	5	0	0	4	2	2	0	2	0	0	3	0	0	0	0	0	1	0	4	0	2	0	2	0	2	0	1	0	2	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	2	1	12	90	183	69	211	3	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	2	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	6	1	0	575	832	123	1	67	0	0	0	3	1651	2	2	968	4	12	956	260	904	0	145	0	120	562	0	8	622	227	733	497	23	77	0	424	2130	1	99	2	5141	836	395	415	55	5	269	6669	104	426	232	701	525	1	0	103	14	287	230	31	392	19	1	261	668	745	474	6578	990	116	7	820	680	1901	63	7	9314	920	1915	20	31	2201	12	685	179	29	567	327	67	44	44	83	139	1952	415	20	20	30	6	741	17849	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	341	100	141	8	0	1	1	2	0	503	71	30	0	0	0	0	0	6	109	278	15	774	1	0	0	2779	1044	1	135	0	0	1	0	729	0	0	2	0	0	0	2	13	0	0	0	0	0	0	0	2	232	50	99	388	132	71	402	610	71	649	405	30	155	531	1103	870	105	947	294	14	53	3260	0	108	152	21	14	254	100	1	1	0	0	0	0	39	3	1	2	44	1	0	5	45	3	196	23	3	1202	14	312	592	104	53	11	98	20	16	7	2972	11	325	333	47	6	113	14	165	807	11	1	7	5	0	2	0	93	33	0	90	0	1	0	3	0	1	0	198	225	310	2	120	264	1	0	6	0	0	71	0	150	306	219	0	0	1	0	18	455	113	0	8	75	73	219	11	561	5	30	96	15	429	1141	0	0	0	2	37	126	12	192	72	26	24	50	294	0	9	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	1	0	1	88	0	0	0	245	0	0	0	771	41	37	0	0	3	136	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	1	0	1	588	1	1060	0	0	441	26	247	0	0	392	0	0	0	0	455	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
