#SampleID	ZYGOSITY
TS32.299074	MZ
TS49.2.299169	MZ
TS14.299212	MZ
TS5.299045	MZ
TS37.299147	MZ
TS82.2.299057	MZ
TS31.299055	MZ
TS106.2.299179	MZ
TS26.299185	MZ
TS28.299120	MZ
TS131.2.298993	MZ
TS50.299027	MZ
TS16.299068	MZ
TS91.2.299008	MZ
TS155.2.298990	MZ
TS19.2.298956	MZ
TS94.299193	MZ
TS2.299130	MZ
TS22.299221	MZ
TS184.299203	MZ
TS20.299059	MZ
TS185.299148	MZ
TS130.2.298955	MZ
TS65.299182	MZ
TS107.2.298960	MZ
TS116.299165	MZ
TS133.299149	MZ
TS95.299180	MZ
TS149.298994	MZ
TS29.298974	MZ
TS23.299159	MZ
TS76.2.299161	MZ
TS92.299206	MZ
TS7.2.299010	MZ
TS35.298981	MZ
TS103.299049	MZ
TS115.298998	MZ
TS34.299217	MZ
TS8.299198	MZ
TS83.2.299171	MZ
TS4.299175	MZ
TS134.299196	MZ
TS25.2.299001	MZ
TS100.298999	MZ
TS1.299139	MZ
TS104.299154	MZ
TS190.299218	MZ
TS13.299018	MZ
TS10.2.299108	MZ
TS191.299146	MZ
TS43.299095	MZ
TS11.298996	MZ
TS164.299125	MZ
TS163.299072	MZ
TS154.2.299022	MZ
TS148.299000	MZ
TS101.2.299207	MZ
TS44.299183	MZ
TS17.299122	MZ
