#OTU ID	B.2006.08.S1.405615	B.2008.03.S1.405528	B.2016.03.S1.405618	B.2011.07.S1.405534	B.2011.03.S1.405538	B.2011.05.S1.405539	B.2008.07.S1.405599	B.2011.06.S1.405532	B.2016.04.S1.405579	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2011.10.S1.405602	B.2012.06.S1.405601	B.2011.04.S1.405598	B.2019.03.S1.405560	B.2011.08.S1.405530	B.2016.02.S1.405600	B.2019.01.S1.405535	B.2020.09.S1.405594	B.2004.01.S1.405609	B.2005.02.S1.405604	B.2004.02.S1.405533	B.2005.03.S1.405591	B.2012.01.S1.405593	B.2016.07.S1.405551	B.2005.09.S1.405592	B.2020.03.S1.405571	B.2012.05.S1.405616	B.2008.02.S1.405555	B.2005.05.S1.405611	B.2020.08.S1.405603	B.2020.10.S1.405617	B.2012.07.S1.405580	B.2012.09.S1.405527	B.2012.03.S1.405546	B.2005.06.S1.405537	B.2012.08.S1.405556	B.2011.09.S1.405577	B.2006.04.S1.405572	B.2011.01.S1.405525	B.2019.06.S1.405608	B.2011.02.S1.405575	B.2012.10.S1.405569	B.2008.04.S1.405565	B.2008.08.S1.405550	B.2020.04.S1.405587	B.2019.05.S1.405612	B.2016.05.S1.405583	B.2008.01.S1.405595	B.2005.01.S1.405588	B.2008.10.S1.405544	B.2012.04.S1.405562	B.2009.05.S1.405596	B.2012.02.S1.405552	B.2006.09.S1.405526	B.2009.10.S1.405585	B.2006.05.S1.405597	B.2005.07.S1.405586	B.2016.01.S1.405584	B.2016.06.S1.405581	B.2004.03.S1.405563	B.2009.01.S1.405540	B.2006.01.S1.405568	B.2016.08.S1.405590	B.2006.06.S1.405542	B.2004.07.S1.405529	B.2005.04.S1.405545	B.2009.04.S1.405531	B.2020.01.S1.405576	B.2004.08.S1.405610	B.2006.02.S1.405606	B.2009.03.S1.405564	B.2004.06.S1.405567	B.2009.06.S1.405554	B.2008.09.S1.405553	B.2019.10.S1.405561	B.2020.06.S1.405557	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2005.10.S1.405573	B.2020.02.S1.405548	B.2004.05.S1.405536	B.2005.08.S1.405559	B.2019.07.S1.405558	B.2019.04.S1.405614	B.2009.09.S1.405547	B.2020.05.S1.405574	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2006.03.S1.405589	B.2019.02.S1.405607	B.2004.04.S1.405549	B.2009.02.S1.405570	B.2020.07.S1.405566	B.2006.07.S1.405582
364736	14	0	11	10	5	1	0	11	28	21	19	19	0	0	28	27	3	1	0	3	0	33	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	3	33	9	16	0	0	0	0	0	14	48	0	0	0	0	12	0	0	10	12	0	0	52	31	0	0	48	13	11	0	4	0	14	34	8	36	6	0	15	0	0	0	0	0	21	0	12	4	24	0	12	0	29	19	20	1	0	35
213885	0	0	1	2	0	2	0	2	1	0	4	0	7	1	0	2	1	0	2	0	1	1	2	3	1	4	1	2	2	1	1	2	3	4	1	0	1	0	0	0	3	0	1	1	1	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191222	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184725	92	0	12	0	0	0	0	0	13	83	99	0	0	0	49	0	32	22	0	11	6	10	2	0	7	6	0	0	0	3	0	0	0	0	0	1	0	0	49	1	71	0	0	0	0	0	96	9	0	2	0	0	0	0	103	0	31	6	15	4	8	0	151	9	44	5	2	0	0	2	42	0	2	0	0	84	0	0	0	3	0	5	5	103	68	0	0	0	0	33	21	4	0	0	46
174036	73	10	40	6	2	3	9	2	62	55	62	12	29	11	45	13	24	19	0	287	28	60	5	55	42	29	0	25	16	40	0	0	29	39	26	7	39	3	99	12	35	1	37	22	7	0	54	39	8	0	4	23	0	28	59	0	91	20	57	50	89	0	73	64	53	71	13	0	0	52	39	0	68	0	7	53	0	34	14	11	0	121	18	44	49	0	0	0	0	40	34	112	0	0	80
1026524	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021043	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0
1019609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
173817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1584173	38	0	247	2	1	0	0	0	136	0	0	2	0	0	0	3	217	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	55	5	0	0	0	0	0	0	0	139	0	0	0	0	0	0	32	0	42	0	147	169	0	0	68	242	53	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	22
