#OTU ID	TS32.299074	TS195.2.298978	TS136.299091	TS51.299145	TS49.2.299169	TS14.299212	TS5.299045	TS37.299147	TS82.2.299057	TS167.2.299004	TS31.299055	TS106.2.299179	TS56.2.299192	TS26.299185	TS33.299224	TS28.299120	TS49.298982	TS131.2.298993	TS126.299046	TS117.298949	TS126.2.298986	TS50.299027	TS137.298959	TS167.299073	TS16.299068	TS91.2.299008	TS156.299155	TS15.2.299128	TS155.2.298990	TS19.2.298956	TS150.299173	TS141.299084	TS94.299193	TS27.299223	TS39.299167	TS50.2.299158	TS2.299130	TS77.299105	TS6.2.299094	TS22.299221	TS168.2.298985	TS132.299044	TS63.2.299109	TS19.298958	TS94.2.299160	TS162.2.299140	TS143.299098	TS120.2.299136	TS184.299203	TS75.299153	TS56.299021	TS182.2.299113	TS62.2.299088	TS20.299059	TS109.2.299100	TS106.299035	TS21.299189	TS57.299197	TS181.299047	TS9.299144	TS185.299148	TS192.299012	TS160.298976	TS130.2.298955	TS155.299082	TS131.299040	TS51.2.299062	TS57.2.299112	TS75.2.298948	TS139.299195	TS65.299182	TS107.2.298960	TS116.299165	TS183.298979	TS116.2.299078	TS3.298967	TS140.2.299087	TS179.298987	TS133.299149	TS15.299020	TS95.299180	TS5.2.298961	TS149.298994	TS166.2.298980	TS169.298977	TS29.298974	TS183.2.299060	TS119.299110	TS23.299159	TS97.2.299190	TS32.2.298970	TS161.299188	TS37.2.299096	TS33.2.299054	TS118.2.298966	TS89.299011	TS195.299150	TS76.2.299161	TS30.298973	TS152.2.299097	TS92.299206	TS137.2.299107	TS55.2.298952	TS142.2.298963	TS7.2.299010	TS151.299215	TS166.299085	TS165.2.299138	TS142.299170	TS35.298981	TS97.299015	TS98.2.299041	TS138.299141	TS103.299049	TS181.2.299083	TS186.299199	TS178.2.299168	TS132.2.299033	TS169.2.298975	TS115.298998	TS34.299217	TS8.299198	TS146.2.299211	TS39.2.299009	TS83.2.299171	TS138.2.299162	TS6.299086	TS30.2.299050	TS147.2.299003	TS179.2.299016	TS8.2.299029	TS4.299175	TS180.299063	TS66.2.299157	TS134.299196	TS25.2.299001	TS100.298999	TS2.2.299116	TS182.299201	TS145.298950	TS109.299099	TS193.2.299051	TS140.298995	TS25.299024	TS86.2.299219	TS69.2.298972	TS61.2.299186	TS110.299019	TS144.2.299166	TS153.299184	TS128.2.299216	TS165.298951	TS26.2.299028	TS1.299139	TS133.2.299076	TS38.2.299081	TS83.299134	TS90.298953	TS134.2.298989	TS104.299154	TS88.2.299002	TS7.299061	TS136.2.298983	TS64.2.299164	TS62.299066	TS96.2.299214	TS110.2.299101	TS147.299111	TS95.2.299006	TS141.2.299017	TS139.2.299031	TS190.299218	TS111.299174	TS67.2.299127	TS87.299172	TS194.299181	TS151.2.298991	TS71.2.299080	TS13.299018	TS168.299115	TS111.2.298964	TS10.2.299108	TS66.299194	TS117.2.299030	TS191.299146	TS74.2.299132	TS43.299095	TS170.2.299205	TS152.299135	TS99.2.299069	TS20.2.299090	TS156.2.299036	TS68.2.298971	TS70.299093	TS11.298996	TS100.2.298944	TS128.299117	TS92.2.299118	TS164.299125	TS21.2.299079	TS135.299142	TS105.299210	TS91.299152	TS38.298997	TS85.299053	TS145.2.299151	TS127.2.299143	TS162.299124	TS164.2.299007	TS129.2.299037	TS119.2.299032	TS68.299202	TS31.2.299187	TS125.2.299067	TS89.2.299023	TS64.299137	TS143.2.299034	TS127.299133	TS194.2.299056	TS86.299064	TS74.299177	TS85.2.299119	TS88.299013	TS55.298947	TS178.299126	TS71.298968	TS63.299005	TS84.2.298962	TS120.298992	TS10.299123	TS163.299072	TS78.299102	TS125.298984	TS163.2.299114	TS9.2.298969	TS90.2.299200	TS193.299075	TS70.2.299052	TS12.299104	TS96.299089	TS4.2.298988	TS65.2.299065	TS13.2.298954	TS87.2.298965	TS98.299220	TS27.2.299025	TS130.299178	TS3.2.299103	TS154.2.299022	TS105.2.299038	TS118.299163	TS69.299058	TS124.298945	TS148.299000	TS115.2.299043	TS101.2.299207	TS72.299209	TS185.2.298957	TS144.298946	TS103.2.299213	TS61.299129	TS124.2.299092	TS11.2.299208	TS67.299039	TS76.299071	TS129.299204	TS160.2.299131	TS78.2.299070	TS146.299014	TS82.299048	TS12.2.299176	TS107.299042	TS44.299183	TS17.299122	TS135.2.299222	TS1.2.299121	TS84.299191	TS73.299077	TS72.2.299026	TS104.2.299106	TS170.299156
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	871	349	467	1748	576	2424	4641	337	130	449	2417	481	523	1268	2970	723	2507	1367	122	427	87	3751	372	191	269	442	163	361	125	1423	3108	159	111	526	582	880	1085	475	671	1318	453	262	504	2628	209	327	627	254	495	297	932	720	738	2169	230	659	3413	1290	447	1599	440	482	190	370	47	1004	187	415	431	457	426	720	159	201	318	1027	79	308	339	1562	155	930	1174	1095	368	294	420	487	428	779	501	283	568	171	604	208	318	562	2062	301	555	362	1096	149	391	704	512	84	373	374	514	317	1267	553	158	180	342	429	441	170	235	1112	61	291	543	311	1147	405	549	247	36	1902	148	1059	243	248	506	124	634	202	331	302	176	657	125	560	653	266	237	689	444	103	627	238	485	283	295	206	274	271	199	1213	534	171	182	303	115	547	144	325	458	408	358	456	259	312	356	354	1009	371	260	161	258	385	369	267	567	233	509	208	332	255	336	281	381	659	205	634	149	716	415	353	194	641	829	55	444	398	294	179	736	472	398	569	386	251	406	420	272	373	457	294	267	1047	305	616	392	177	3	417	259	111	382	316	325	328	254	312	515	114	426	543	224	338	292	207	373	263	59	158	194	604	339	512	113	591	243	384	161	558	225	149	376	149	354	301	115	472	71	169	401	376	75	133	305	42	71	371	80	2	1
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	581	164	505	938	534	2591	1263	309	140	764	1737	152	1096	1161	2709	417	1426	200	135	332	256	3390	233	368	416	169	198	245	399	446	1072	188	154	1964	386	659	1044	264	228	429	862	414	295	417	234	284	257	260	126	43	380	676	373	2064	127	338	965	152	355	1022	216	442	112	122	283	343	129	153	44	486	283	468	1019	100	372	635	107	247	137	1362	179	337	769	470	499	155	98	218	251	295	410	147	552	406	306	262	102	469	603	211	157	428	435	226	329	474	205	584	230	466	181	157	320	142	169	93	182	436	498	211	221	2122	393	231	209	110	439	137	594	146	58	397	160	789	202	899	321	175	567	323	102	236	152	1726	104	243	331	310	254	230	320	426	483	748	281	361	136	281	449	159	136	1194	776	446	92	312	328	299	156	326	364	439	536	234	377	218	376	241	918	536	402	103	356	320	138	372	241	181	166	149	514	204	200	165	215	372	283	298	208	321	258	346	60	362	202	668	297	208	306	131	322	217	366	233	340	272	271	448	250	224	267	226	133	345	182	307	204	226	10	208	174	51	165	204	353	353	181	245	92	88	146	474	238	199	203	404	83	164	277	82	132	101	346	384	182	365	151	216	174	252	51	173	285	84	215	178	115	133	453	117	85	234	227	94	163	125	92	193	24	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	6	0	0	2	32	0	4	0	1	0	16	3	0	414	3	360	6	4	0	2	2	0	1	0	8	41	2	0	99	0	0	4	3	15	0	1	0	3	0	0	0	2	0	6	4	9	1	0	2	0	1	1	2	2	0	2	8	4	0	9	0	0	0	0	138	1	4	0	0	0	0	0	213	0	69	4	1	1	1	1	2	0	0	0	1	0	2	0	0	4	0	0	0	0	7	31	0	1	12	7	0	0	1	3	5	0	5	3	0	6	1	1	0	0	0	89	0	6	0	4	7	446	3	1	10	0	5	61	0	11	23	27	0	1	0	1	0	0	9	2	0	0	0	7	0	0	23	21	4	30	0	0	47	26	2	1	2	11	0	2	1	108	3	0	7	1	22	0	0	31	3	2	66	0	0	0	1	1	1	0	34	0	2	0	2	0	2	4	17	0	2	1	2	6	7	1	2	0	0	0	2	0	7	0	3	6	13	4	0	3	0	11	5	0	54	3	2	45	0	0	1	4	1	0	0	1	0	9	0	3	0	0	4	0	0	5	0	1	144	2	2	0	0	3	0	0	0	0	4	0	15	0	2	0	5	0	2	4	2	0	12	0	0	2	10	1	0	0	1	0	107	0	1	0	4	10	10	2	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	35	110	30	108	0	1	2	151	0	0	26	1	0	36	18	38	2	2	1	1	3	1	139	1	6	87	1	3	196	0	7	9	2	61	5	0	144	0	13	17	0	7	96	16	13	10	26	32	1	0	0	151	59	61	4	5	17	15	1	68	0	0	110	0	248	2	77	0	4	2	8	3	179	4	89	2	272	10	0	34	0	0	68	4	0	5	0	8	1	9	3	11	15	0	1	3	124	25	46	6	0	54	4	2	3	10	16	9	0	32	7	0	1	2	1	3	87	10	0	115	2	45	3	0	3	1	31	8	50	238	0	131	21	43	21	38	60	5	4	1	5	2	170	604	33	3	4	2	12	9	12	12	4	20	0	1	0	23	170	35	0	79	150	21	186	193	90	18	1	33	6	13	5	5	41	0	83	3	5	0	9	1	0	1	3	3	6	12	14	0	3	0	3	5	12	8	15	0	0	1	13	0	4	0	46	8	1	6	0	83	9	7	2	1	18	16	28	1	2	130	8	37	0	3	1	0	342	170	0	0	2	67	97	2	15	68	21	0	14	90	7	7	0	23	0	1	1	2	96	0	22	26	0	24	79	0	6	28	4	0	1	0	4	3	11	95	87	47	1	0	8	6	17	1	9	6	308	73	0	0	0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	0	4	4	1459	2	103	15	0	2	14	0	0	0	3	3	2	7	4	4	0	5	2	0	2	4	0	2	4	2	2	0	0	1	1	0	3	93	3	0	6	7	2	0	2	0	0	0	40	0	0	0	4	5	2	1	0	1	0	0	2	1	2	0	0	7	0	96	0	3	0	0	0	143	1	30	7	3	117	0	10	1	5	3	52	2	1	0	1	7	0	1	0	0	4	7	1	11	6	1	4	0	3	0	0	0	0	0	6	2	0	0	0	1	0	0	6	98	2	5	3	1	8	2	0	4	0	2	4	2	25	1	4	0	5	1	5	2	1	0	0	0	1	1	1	0	0	0	3	1	0	6	8	2	11	1	1	0	0	1	1	1	4	2	0	1	6	0	1	0	1	0	0	14	0	8	0	1	0	6	2	8	0	0	0	0	1	3	3	1	0	0	1	3	1	0	6	0	0	0	1	3	2	0	10	0	3	2	3	0	0	2	2	0	1	2	1	1	5	0	0	2	0	2	0	175	1	1	16	1	3	1	18	0	0	2	2	0	0	0	2	0	1	2	4	0	6	0	2	1	0	2	0	0	0	3	4	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	4	2	1	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	1	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	0	0	0	6	0	4	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__kroppenstedtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	0	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
