#OTU ID	LD.73	LD.11	LD.26	HD.61	LD.61	LD.77	LD.88	LD.63	LD.5	HD.65	LD.52	HD.50	LD.22	LD.76	LD.20	LD.19	LD.85	LD.69	HD.75	LD.66	HD.77	HD.11	LD.72	LD.92	HD.69	LD.94	LD.90	HD.20	HD.5	HD.83	HD.8	HD.22	LD.34	HD.73	HD.23	HD.62	LD.78	LD.97	HD.67	LD.81	LD.89	HD.79	LD.95	LD.59	LD.1	HD.63	LD.68	HD.48	LD.74	HD.1	HD.56	HD.53	LD.38	HD.12	HD.81	LD.39	HD.31	LD.91	LD.15	HD.80	LD.54	HD.60	HD.70	LD.42	HD.28	LD.80	LD.37	HD.35	HD.64	LD.75	LD.43	LD.58	LD.51	HD.32	LD.8	HD.7	HD.29	HD.72	HD.4	LD.35	HD.41	LD.57	HD.10	LD.53	HD.82	LD.17	LD.29	LD.3	HD.30	LD.60	HD.9	HD.68	LD.46	LD.41	LD.62	HD.42	HD.58	HD.46	LD.7	LD.93	LD.86	HD.36	HD.2	LD.96	HD.27	LD.14	HD.78	HD.34	HD.52	HD.40	LD.12	LD.84	HD.66	HD.24	HD.71	LD.83	LD.82	HD.21	LD.44	LD.23	HD.74	HD.76	LD.50	LD.79	LD.4	HD.33	LD.9	HD.51	HD.26	HD.14
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale;t__[Eubacterium_rectale]_ATCC_33656	637936	118762	603996	229690	374	9768	17012	144	302884	73550	27976	5898	8058	65642	2004	22206	1370692	2434	309874	350	178224	106480	3196	888	49658	22488	6200	97124	175620	16478	130556	211088	1460	3614	71298	13494	17112	94884	103576	3114	882	12452	6626	334220	63594	121660	414784	17664	465148	231508	21196	490742	87336	57834	119010	16730	3240	5996	26160	1666	9370	456446	1164	3426	341104	3374	5232	18824	1032	176798	94226	203026	13850	96114	420	12408	118260	47388	214408	5052	101878	556	10934	3512	3532	2144	570	13126	71326	25854	136954	2416	1048	15318	48	59410	30520	7160	2878	15920	42238	18978	8540	568	41780	113130	2164	5730	18572	19428	9662	80156	8964	112760	44516	10194	29168	7250	12110	7740	147722	1010	10766	199418	75022	36556	432	69174	139634	18112
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus;t__Odoribacter_splanchnicus_DSM_20712	57518	281976	25338	84552	2466	26318	7468	9462	2624	7192	13248	9208	271516	36568	8430	5948	15436	5248	121896	5818	4624	36466	1144	3794	32816	53942	1704	522	27942	17942	232734	42804	2412	24684	66328	91258	2268	29894	78088	371654	7542	25686	323562	3158	31402	185236	145630	8186	150752	52634	31626	12528	2496	28968	18218	219954	5348	3238	6088	1484	19872	380786	3828	26298	81358	1290	4896	19094	6574	23468	238536	48060	9880	53140	18016	32766	95708	40520	22954	5756	96596	1500	24914	2518	1498	33410	1700	58244	6008	14676	62218	38158	38044	71620	4202	21376	117438	42718	2050	578	84346	99534	46818	26250	70608	77132	19484	28408	5956	209124	442	210066	42612	15794	53456	37520	104678	3288	62448	23354	44366	12550	30878	56570	1506	87332	158	61150	10622	33482
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis;t__Bacteroides_uniformis_ATCC_8492	898892	404058	57600	2221104	464490	4977288	20102	310916	152742	571018	125638	615346	1832686	138312	25644	8534	174540	862932	927848	17044	49264	2718130	20810	169714	840638	181372	13434	236664	1315230	94438	322702	353396	58944	388886	301106	238362	405486	234632	261384	616684	20550	229708	1433660	607712	306694	1354008	977460	207170	121144	611882	318564	595482	26556	208710	120722	14910	4018488	5332	60220	146802	161150	1176786	139064	1425718	336976	151648	42118	177788	820604	4146790	120100	60412	225314	88748	89592	194664	2148648	547374	265906	1186514	341548	3612	71550	16594	12772	36284	81118	1981422	616142	49284	209700	723322	258936	1178866	4194	97516	379192	470786	15280	2534	53282	1136222	607630	77818	39464	512044	395548	564664	1620314	747192	2522	219482	361934	473654	885746	265978	256086	333698	134822	19214	561418	108980	256676	372632	285188	184810	2284	1231742	122254	111778
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	300694	246190	123014	215798	397844	168534	119898	87208	197788	131980	91454	387344	369634	47740	22514	5572	71030	277690	243082	121218	90866	38068	9618	108232	95438	143028	54120	76598	87464	106222	59454	57930	21044	63148	201800	89990	118202	324708	83162	241968	151186	139746	434060	34368	61192	226452	73986	23450	106342	117502	100920	314334	112568	67270	54622	49952	317894	145654	23216	22912	56368	122910	30412	121562	144412	19916	23896	64272	167422	1176768	121812	63706	393336	32176	157318	426672	361044	140852	259656	340890	45960	1480	95236	85754	18674	29460	100974	525244	61078	33932	47822	185408	67628	309460	50878	34944	211056	83714	7972	32530	85248	94586	102982	92810	91682	79514	27766	89308	478196	239436	74894	173614	143846	167242	229990	224438	116914	166942	93964	145512	41782	94326	42216	74448	48796	74018	3720	98170	106276	75828
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	313438	422130	157828	360460	184188	271016	53038	126892	139602	194522	98882	587034	576820	304936	43236	43870	208986	347228	227490	160698	224544	105598	51434	96604	102866	190852	44972	60350	98588	234730	229960	44100	21028	72604	349130	184512	104060	339404	123314	259234	208226	197874	479936	233506	72316	336064	156810	175238	219184	179176	111854	260458	127312	210916	96102	258104	260630	91882	165242	64976	66998	292230	57840	156230	217026	49186	30628	77852	153302	895782	193486	90804	449790	78090	121486	322348	777224	139860	237672	467464	99988	17038	138730	167040	46038	105392	59712	496438	544754	258122	118022	179402	164014	350344	66360	89744	286622	199142	68970	30430	114418	197376	111470	115546	149714	107150	35008	87908	474870	281050	47152	373672	103864	89674	192348	315892	90716	67180	101432	216152	79052	64970	138828	135574	36922	183320	3044	65576	174582	118186
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Tetrasphaera;s__Tetrasphaera_japonica;t__Tetrasphaera_japonica_T1-X7	10	0	14	4	2	90	2	178	2	0	8	0	0	150	9048	16	2	6	0	4	2	0	102	4	0	0	2	332	0	6	0	0	0	0	0	0	0	0	0	4	2	0	4	0	0	0	4	8	2	0	4	2	22	6	8	6	0	2	0	2	4	6	2	0	0	20	70	80	0	0	0	2	1298	0	0	0	4	2	0	0	2	4478	0	36	60	8	0	0	0	18	0	0	0	0	2	0	798	6	0	16	2	0	0	2	16	0	0	0	0	0	0	0	0	0	0	12	34	2	0	568	0	0	0	24	4	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Tetrasphaera;s__Tetrasphaera_japonica	0	0	0	0	0	2	0	2	0	0	0	0	0	8	382	0	0	0	0	0	0	0	12	2	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	2	0	0	80	0	0	0	0	0	0	0	0	290	0	6	2	0	0	0	0	0	0	0	0	0	0	0	58	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	62	0	0	0	4	0	0	0	0	0	0
k__Bacteria	15138	30664	17856	5372	5622	39560	18244	1846	8472	11898	5556	9252	16872	11174	2358	5782	44708	6774	7912	1288	4628	8560	18436	2136	2584	6872	3154	7540	5754	3666	22696	4648	1884	3984	8068	8664	4034	14094	8276	4370	7656	5044	3940	5940	4432	6950	30578	3582	18700	7408	6022	8874	11446	5052	5550	26094	8098	4470	5258	1346	5522	19990	1244	3246	4666	3608	2754	6306	4974	41046	5960	2720	16084	3684	928	9146	10478	5108	4168	30696	5458	4484	6948	5272	2734	3986	1254	10648	5262	14872	12304	3984	3400	4324	2576	1694	12488	3084	1296	7486	9144	5316	13318	2106	3810	6842	1650	2602	19414	12928	2068	8296	4820	3104	7482	7256	17990	2470	5624	16172	5742	1260	8410	11246	1650	10444	198	4440	6690	8238
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	0	30	2	0	0	16	12	0	0	6	21292	0	0	38	12	2	2	0	0	4	12	0	0	0	0	0	28	0	0	4	0	0	608	0	0	0	6	24	24	20	24	636	0	0	4	0	0	0	0	0	2310	0	0	0	2	2	16	12	1750	0	6	8	0	0	0	0	8	20748	0	6	0	4	70	14982	2	0	726	0	0	8	0	10	0	0	0	2306	16	6	2	84	0	0	0	0	4	0	4	174	0	0	11872	0	0	0	0	0	10	2	0	2	0	4	8592	0	0	8	2	2	0	0	6	0	0	6	0	15468	0	0	4	0
	3062	2564	2334	596	2108	3166	6890	926	726	864	1444	1196	1648	1482	260	766	2230	4760	842	370	298	856	35080	814	344	1014	1128	2378	3086	1422	3682	1394	382	44	1088	918	2326	5996	1220	3360	2568	2178	1060	1262	918	602	6882	674	14146	1574	570	1390	1498	1240	1060	2048	1306	1056	418	150	314	3280	208	408	420	2276	314	1890	178	2966	1562	124	6948	838	1238	994	1250	688	612	2604	748	520	656	634	2516	656	356	712	796	1026	2030	480	238	508	1756	1138	698	628	190	876	854	974	2062	462	376	1210	298	250	2658	1320	60	4300	726	326	956	2130	4376	998	918	5172	424	1270	2334	4346	834	1632	108	748	850	588
