#OTU ID	R8J9ZNOW.518040	C0275.T.518032	5TA9VAT9.518088	OTGGZN5Y.518063	QFHRSNIH.518116	5TA9VN6K.518161	C0195.N.518110	C0240.N.518020	OTGGZAZO.518108	C0241.T.518067	UEL2GAPI.518173	C0374.N.518099	KIXFRNL2.518129	C0366.N.518094	C0344.N.518103	C0258.T.517997	C4.S.518169	C0270.T.518163	UZ65XN27.518028	C0395.N.518054	C0394.N.518031	R8J9ZAGC.518059	59S9WNC6.518055	C0398.N.518152	C10.S.517995	C0355.T.518157	C0271.N.518022	C0311.T.518131	GQ6LSNI6.518106	C0325.T.518083	C0371.T.518139	TV28INUO.518004	LRQ9WN6C.518048	C0388.N.518136	C0225.N.518047	C0285.T.518044	C0399.N.518011	C0322.N.518165	5EKFOAO4.518164	6G2KBASQ.517999	C0315.N.518021	C0206.N.518065	C0285.N.518084	C0268.N.518089	C0134.N.518072	UEL2GN92.518058	UZ65XAS5.518119	C0335.N.518107	G2OD5N55.518146	C0269.N.518130	C0230.T.518144	C0258.N.518014	C0395.T.518075	C0374.T.518127	C0366.T.518172	C0371.N.518009	C0341.N.518101	C0399.T.518153	C4.T.518118	C0294.N.517987	C0154.N.518002	6G2KBNS6.518045	C0195.T.517986	C0378.N.518158	C0230.N.517992	C0306.T.518122	C0349.T.518111	C0349.N.517989	KIXFRARY.518160	JIDZEAPD.518149	C0282.N.518138	59S9WAIH.518013	C0241.N.518043	82S3MAZ4.518145	C0134.T.517988	C0252.N.518016	XZ33PA3O.518135	C0186.N.518143	82S3MNBY.518050	C0318.T.518140	C0245.T.518151	5EKFONB3.518125	C0355.N.518077	C0332.T.518017	MQETMNL4.518037	LRQ9WAHA.518036	C0362.N.518069	C0362.T.518026	C0294.T.518134	C0133.N.518051	C0388.T.518015	C0198.N.518081	JIDZEN4J.518073	HZIMMNL5.518062	C0149.N.518039	C0308.N.518154	C0159.N.518042	C0318.N.518105	HZIMMAM6.518095	C0095.T.518141	GQ6LSABJ.518010	C0341.T.518113	C0211.T.518096	C0095.N.518123	C0149.T.518132	C0344.T.518029	G2OD5ABL.518057	G3UBQNDP.518121	C0212.T.518155	C0198.T.518166	C0269.T.518150	C0325.N.518109	MQETMAZC.518171	C0342.N.518068	C0225.T.518033	A8A34AP9.518086	C0330.T.518035	TV28IANZ.518070	32I9UNA9.518098	G3UBQAJU.518060	C0212.N.518167	C0306.N.518003	C0378.T.518104	38U4VNBW.518090	38U4VAHB.518100	QFHRSAG2.518005	C0330.N.518148	C0240.T.518052	YOTV6NC8.518156	C0268.T.518114	C0209.T.518128	C6.S.518082	C0133.T.518133	O436FAO8.518097	32I9UAPQ.518112	MQE9OAS7.518008	XZ33PN7O.518030	UTWNWANU.518168	XBS5MA8H.517990	A8A34NCW.518023	41E1KAMA.517991	C0252.T.518006	I7ROLN9P.518079	C0342.T.518093	C0112.T.518024	YOTV6ASH.518142	C10.T.518056	C0394.T.518064	C0333.T.518046	C0282.T.518000	BFJMKAKB.518159	C0159.T.518087	C0271.T.518078	C0334.N.518066	MQE9ONGV.518038	C0333.N.518126	C0186.T.518019	C0334.T.518147	C1.T.518120	41E1KNBP.517985	C0322.T.518018	C0332.N.518027	C6.T.518061	C0311.N.518124	C0211.N.518117	C0256.N.518170	C0270.N.518041	C0154.T.518091	C0308.T.518162	C0206.T.518053	C0209.N.517984	C0256.T.518080	C0275.N.518076	C0245.N.518071	C1.S.518137	8XBKGABK.517998	UTWNWN3P.518012	C0235.T.518049	C0335.T.518115	C0235.N.517993	C0314.T.518025	C0112.N.518001	8XBKGN9F.518085	C0315.T.518034	O436FNP3.518007	BFJMKNMP.518102	XBS5MNEH.518074	C0398.T.518092	C3.T.517994	C3.S.517996
532521	582	0	212	40	2	138	6	0	55	49	0	0	385	1	0	7	15	0	0	3	59	846	0	2	1	115	2	86	41	1	10	2	7	2	1	21	32	19	0	0	46	0	14	1	25	0	0	2	1	154	2	0	3	2	0	16	16	14	0	5	1	0	26	57	0	55	3	0	0	22	4	2	26	0	43	72	303	1	0	16	132	0	28	112	16	0	5	0	17	115	12	2	1	0	38	3	4	69	0	69	80	0	2	50	18	0	118	251	2	5	181	2	12	36	11	468	7	2	121	162	16	157	17	10	27	0	1	0	301	7	4	2	124	424	179	0	355	0	0	494	153	67	145	37	14	36	2	16	16	6	1	3	24	42	0	14	4	45	0	341	6	34	17	48	0	0	5	5	2	0	13	0	3	4	0	0	0	10	0	12	1	1	0	14	84	4	3	0	0	0
1640060	0	1291	0	0	0	0	0	0	4	5	0	6	0	40	0	32	6	110	0	8	22	1	0	1011	0	20	4	50	0	6	1208	1	0	1	7	2	7	3	1	4	0	0	5	0	17	0	0	34	0	58	417	4	430	3	135	45	3	3	0	18	0	15	4	1	3	89	497	3	0	72	3	1	0	0	2544	70	0	1	1	498	2669	1	3	0	250	0	0	1	203	1	45	0	13	21	86	14	5	18	2103	183	3	0	31	116	119	0	0	272	7	0	946	0	114	0	505	0	4	3	282	629	26	340	1	42	323	5	0	7	0	18	0	138	3	0	1554	1221	0	0	0	3	0	269	0	0	53	0	0	165	0	147	0	7	31	15	0	0	2	140	0	3	2	1	418	22	207	0	193	22	20	0	0	2	81	8	0	0	0	265	28	41	5	29	0	0	0	1	1	3	0	0
1040889	9	2	4	0	0	13	27	1	0	0	24	19	9	6	3	7	18	4	14	47	2	6	12	29	6	1	3	1	33	3	4	3	26	1	10	4	9	6	8	5	30	2	8	2	7	18	5	9	2	5	2	7	6	2	7	2	5	6	8	2	2	10	2	5	1	1	1	15	6	5	1	7	2	0	0	2	0	0	0	1	0	8	1	2	4	5	6	2	1	1	1	3	4	4	4	3	4	2	2	2	6	1	4	2	2	1	2	0	2	2	2	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1040009	0	1	62	0	0	9	8	3	0	1	0	7	2	5	0	3	1	2	3	9	2	0	4	5	2	11	1	8	0	6	0	0	1	0	0	8	2	0	1	83	0	0	1	0	2	0	2	12	0	0	5	3	5	1	7	0	3	2	1	30	0	379	7	3	14	1	0	1	1	0	0	5	0	0	0	23	11	0	0	0	71	0	2	0	0	0	6	0	155	3	0	2	2	8	1	22	0	1	5	9	0	0	1	9	3	0	0	0	1	0	0	1	0	30	0	26	0	0	3	0	13	0	56	124	179	1	0	1	33	2	10	125	0	1	1	0	52	53	0	10	0	53	0	22	26	3	0	0	5	0	4	0	3	0	0	5	2	1	2	0	1	1	631	2	0	0	3	1	17	0	0	1	0	0	3	0	4	0	36	0	0	242	0	1	15	1	0	2	4	0
103730	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1012376	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1000273	0	0	4	2	66	3	0	0	31	1	0	0	0	0	0	0	0	0	0	0	1	0	14	1	0	0	0	0	0	1	0	15	0	0	0	2	7	23	0	17	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	70	0	0	0	0	17	0	17	0	1	11	0	0	0	0	0	0	1	0	0	0	0	16	15	16	2	14	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	72	3	0	2	1	6	0	0	0	0	21	0	27	0	0	0	1	0	40	0	0	2	26	0	38	0	0	0	0	1	9	0	0	1	0	151	0	10	0	0	1	4	0	0	2	0	0	0	0	0	5	0	1	3	0	36	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	28	0	0	3	0	0	2	0	1
1010329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1009894	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	43	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	12	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	2	0	20	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0
1008348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
100506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
