#OTU ID	R8J9ZNOW.518040	C0275.T.518032	5TA9VAT9.518088	OTGGZN5Y.518063	QFHRSNIH.518116	5TA9VN6K.518161	C0195.N.518110	C0240.N.518020	OTGGZAZO.518108	C0241.T.518067	UEL2GAPI.518173	C0374.N.518099	KIXFRNL2.518129	C0366.N.518094	C0344.N.518103	C0258.T.517997	C4.S.518169	C0270.T.518163	UZ65XN27.518028	C0395.N.518054	C0394.N.518031	R8J9ZAGC.518059	59S9WNC6.518055	C0398.N.518152	C10.S.517995	C0355.T.518157	C0271.N.518022	C0311.T.518131	GQ6LSNI6.518106	C0325.T.518083	C0371.T.518139	TV28INUO.518004	LRQ9WN6C.518048	C0388.N.518136	C0225.N.518047	C0285.T.518044	C0399.N.518011	C0322.N.518165	5EKFOAO4.518164	6G2KBASQ.517999	C0315.N.518021	C0206.N.518065	C0285.N.518084	C0268.N.518089	C0134.N.518072	UEL2GN92.518058	UZ65XAS5.518119	C0335.N.518107	G2OD5N55.518146	C0269.N.518130	C0230.T.518144	C0258.N.518014	C0395.T.518075	C0374.T.518127	C0366.T.518172	C0371.N.518009	C0341.N.518101	C0399.T.518153	C4.T.518118	C0294.N.517987	C0154.N.518002	6G2KBNS6.518045	C0195.T.517986	C0378.N.518158	C0230.N.517992	C0306.T.518122	C0349.T.518111	C0349.N.517989	KIXFRARY.518160	JIDZEAPD.518149	C0282.N.518138	59S9WAIH.518013	C0241.N.518043	82S3MAZ4.518145	C0134.T.517988	C0252.N.518016	XZ33PA3O.518135	C0186.N.518143	82S3MNBY.518050	C0318.T.518140	C0245.T.518151	5EKFONB3.518125	C0355.N.518077	C0332.T.518017	MQETMNL4.518037	LRQ9WAHA.518036	C0362.N.518069	C0362.T.518026	C0294.T.518134	C0133.N.518051	C0388.T.518015	C0198.N.518081	JIDZEN4J.518073	HZIMMNL5.518062	C0149.N.518039	C0308.N.518154	C0159.N.518042	C0318.N.518105	HZIMMAM6.518095	C0095.T.518141	GQ6LSABJ.518010	C0341.T.518113	C0211.T.518096	C0095.N.518123	C0149.T.518132	C0344.T.518029	G2OD5ABL.518057	G3UBQNDP.518121	C0212.T.518155	C0198.T.518166	C0269.T.518150	C0325.N.518109	MQETMAZC.518171	C0342.N.518068	C0225.T.518033	A8A34AP9.518086	C0330.T.518035	TV28IANZ.518070	32I9UNA9.518098	G3UBQAJU.518060	C0212.N.518167	C0306.N.518003	C0378.T.518104	38U4VNBW.518090	38U4VAHB.518100	QFHRSAG2.518005	C0330.N.518148	C0240.T.518052	YOTV6NC8.518156	C0268.T.518114	C0209.T.518128	C6.S.518082	C0133.T.518133	O436FAO8.518097	32I9UAPQ.518112	MQE9OAS7.518008	XZ33PN7O.518030	UTWNWANU.518168	XBS5MA8H.517990	A8A34NCW.518023	41E1KAMA.517991	C0252.T.518006	I7ROLN9P.518079	C0342.T.518093	C0112.T.518024	YOTV6ASH.518142	C10.T.518056	C0394.T.518064	C0333.T.518046	C0282.T.518000	BFJMKAKB.518159	C0159.T.518087	C0271.T.518078	C0334.N.518066	MQE9ONGV.518038	C0333.N.518126	C0186.T.518019	C0334.T.518147	C1.T.518120	41E1KNBP.517985	C0322.T.518018	C0332.N.518027	C6.T.518061	C0311.N.518124	C0211.N.518117	C0256.N.518170	C0270.N.518041	C0154.T.518091	C0308.T.518162	C0206.T.518053	C0209.N.517984	C0256.T.518080	C0275.N.518076	C0245.N.518071	C1.S.518137	8XBKGABK.517998	UTWNWN3P.518012	C0235.T.518049	C0335.T.518115	C0235.N.517993	C0314.T.518025	C0112.N.518001	8XBKGN9F.518085	C0315.T.518034	O436FNP3.518007	BFJMKNMP.518102	XBS5MNEH.518074	C0398.T.518092	C3.T.517994	C3.S.517996
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptostreptococcus; s__anaerobius	582	0	212	43	2	138	6	0	55	49	0	0	385	1	0	7	15	0	1	3	59	849	0	2	1	115	2	86	41	1	10	2	7	2	1	21	32	19	0	0	46	0	14	1	25	0	0	2	1	154	2	0	3	2	0	16	16	14	0	5	1	0	26	57	0	55	3	0	0	22	4	2	26	0	43	72	302	1	0	16	132	0	28	112	16	0	5	0	17	115	12	2	1	0	38	3	4	69	0	69	80	0	2	50	19	0	118	251	2	5	181	2	12	36	11	468	7	2	121	162	16	157	17	10	27	0	1	0	301	7	4	2	124	424	179	0	355	0	0	494	153	67	145	37	14	36	2	16	16	6	1	3	25	42	0	14	4	45	0	342	6	34	17	48	0	0	5	5	2	0	13	0	3	4	0	0	0	10	0	12	1	1	0	14	84	4	3	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea	0	1	1001	753	269	1917	1575	588	1359	347	0	0	0	0	0	0	0	1	270	0	20	0	254	2	0	0	11	34	0	0	1	5	0	0	11	0	1	0	0	2	0	1	0	169	1279	13	131	0	0	3	95	3	0	0	0	0	0	0	0	3	0	0	175	76	62	0	0	0	228	0	6	435	1861	246	749	312	0	0	471	0	0	1	0	0	1	153	0	0	0	25	1	131	0	0	5	0	0	0	0	9	0	0	1	0	3	0	0	1	44	0	0	1	0	0	0	42	0	0	0	0	1167	0	0	0	0	141	0	877	322	5	241	0	0	0	0	0	0	0	0	23	0	11	0	0	7	51	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	25	0	25	18	4	3	1	967	0	0	1	0	2	0	6	0	12	0	0	0	1	0	6	0	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	105	81	159	310	104	624	204	214	34	159	482	1196	716	825	542	1371	1233	1209	316	1206	870	66	150	1321	1499	154	457	315	1371	917	767	167	1621	1029	607	192	383	404	732	381	1791	134	645	384	317	283	136	1111	219	808	89	816	176	117	1530	1273	595	50	114	282	890	703	47	347	107	196	359	2289	86	312	328	84	410	89	951	583	773	752	107	91	264	870	290	291	1472	42	303	18	222	486	484	1874	173	1500	608	1140	647	230	1529	260	837	88	607	262	349	173	159	153	94	551	710	582	968	1900	436	210	372	134	64	54	1104	1227	92	735	959	58	245	162	14	168	49	76	254	21	84	16	990	544	0	157	5	51	111	101	25	4	213	522	136	136	0	181	121	559	139	581	964	1005	431	11	143	283	60	393	856	2367	2314	156	504	14	72	599	633	47	547	14	1318	19	483	71	20	208	1	261	2	0	0	6	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0	0	0	90	17	0	38	163	2	0	1	1	0	0	0	0	24	0	9	2	0	0	0	1	0	0	11	5	0	0	0	0	0	0	0	0	384	5	0	0	0	0	0	6	2	0	4	1	0	0	0	0	0	0	1	0	1	57	0	80	0	0	1	741	0	0	0	0	326	0	0	0	1	983	0	0	0	4	692	24	4	0	0	0	2	341	0	0	48	9	0	5	1	0	3	33	164	94	0	0	0	7	0	0	2	0	0	0	0	0	0	1	0	8	0	93	9	0	0	0	0	0	123	0	4	15	3	245	0	0	0	0	1	0	0	0	0	752	0	124	35	0	0	0	0	0	0	0	0	0	0	52	4	1	0	0	0	0	0	37	1	0	0	4	0	0	3	0	33	1	1	0	0	0	0	0	2405	0	0	0	0	0	0	0	0	1	3	0	0	0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens	7	1	0	19	31	27	18	6	1	2	40	25	0	0	5	11	23	0	21	0	1	7	42	2	1	13	5	0	127	0	1	11	0	0	16	2	17	16	16	5	22	6	9	8	31	20	5	13	42	4	0	16	0	0	0	12	7	7	9	7	38	29	2	8	0	2	4	7	4	47	0	0	8	2	0	27	0	6	0	0	10	34	6	0	1	1	1	0	0	37	0	7	120	46	1	6	0	4	27	5	64	2	1	95	9	1	34	10	0	0	2	11	28	11	2	1	1	6	0	4	1	20	1	0	0	22	0	8	11	2	8	4	4	0	0	2	0	0	0	3	0	1	39	4	4	0	0	0	0	0	0	5	1	29	20	0	4	56	0	2	0	4	5	6	8	2	2	0	0	2	21	0	8	3	0	0	0	0	2	2	0	6	0	1	0	1	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	0	0	0	273	11	1	1	4	28	3	0	0	0	3	0	1	0	0	4	0	0	0	0	2	1	1	9	3	4	0	0	0	2	1	0	0	1	3	0	0	0	8	0	2	12	0	0	1	3	2	2	2	0	0	3	1	6	0	0	8	3	0	0	5	3	0	0	1	12	3	4	0	6	1	0	6	0	6	0	0	1	0	0	0	0	8	3	2	1	2	0	2	2	0	0	2	3	0	0	2	3	0	1	0	0	2	8	0	0	0	0	0	0	10	0	18	0	0	0	1	6	4	0	0	0	5	0	3	9	0	4	2	0	0	0	0	3	0	0	15	12	3	0	1	0	1	0	0	0	0	1	0	2	3	0	1	11	7	0	95	0	0	0	4	2	10	3	0	0	1	3	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	2	0	1	1	0	1	0	0	9	0	0	3	0	0	0	0	0	0	0	0	7	0	8	0	1	0	0	4	2	2	0	174	1	0	0	0	1	1	2	10	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	1	0	2	0	31	2	0	0	0	0	0	3	0	0	4	0	0	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	5	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	0	1	0	467	1	0	0	0	1	2	1	0	0	0	12	0	0	0	0	1	2	9	19	3	0	4	0	1	0	0	0	0	0	0	0	2	1	0	8	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	0	1	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
