#OTU ID	037-1	041-1	047-1	034-1	035-1	051-1	040-1	039-1	043-1	026-1	057-1	011-1	046-1	052-1	029-1	038-1	055-1	024-1	033-1	050-1	023-1	021-1	014-1	007-1	030-1	044-1	028-1	027-1
168071	56	34	27	7	14	24	10	0	10	0	17	0	8	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0
121873	0	2	2	0	0	4	0	3	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
1046054	0	2	1	7	21	31	8	468	14	12	5	3	3	0	3	1552	5	3	7	57	5	25	64	2	2	4	22	265
1042805	0	2	0	0	5	23	0	0	0	2	0	8	3	3	0	67	0	0	0	1	2	1	1	0	0	5	14	10
100148	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0
1000592	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
102471	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017827	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007750	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100198	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019609	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
102049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
102222	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	44	0	0	0	0	0	0	0	254	0	0	0	3
1039584	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	25	0	0	0
1026524	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1028283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1034960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
104135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1060104	0	28	3	0	0	15	3	746	13	8	8	4	1	27	1	324	0	0	0	8	0	0	0	0	0	10	4	49
105409	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1046408	0	2	15	17	1	68	0	0	9	2	0	37	87	1	31	0	0	25	1	1	1	0	283	4	1	17	2	10
1053898	0	0	2	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1051744	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1056058	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0
1054318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1085832	2	176	40	7	63	46	3	24	13	96	12	5	79	172	117	182	38	1782	10	9	27	64	2666	66	2	1675	56	43
