#OTU ID	ID209	ID205	ITS3.DD29	ITS3.DD87	ID138	DD68	ID7	DD167	DIET25	ITS3.DD115	DIET55	DD47	ID92	ID240	DD42	ID44	ITS3.DD136	DIET11	DIET4	DIET8	DIET16	DIET7	DIET56	DIET19	DIET12	DIET15	DIET53	DIET3	DIET54	DIET40	DIET20	ID123	ID99	ID135	ID58	DIET23	ITS3.DD138	ITS3.DD110	ITS3.DIET14	DIET49	ITS3.DIET31	DIET24	DIET48	DIET47	DIET35	DIET37	DIET36	DIET43	DIET41	ID45	DD38	DD31	ITS3.ID98	ITS3.ID90	ID265	ID54	ID115	ID214	ID167	ID18	DD130	ID3	ID89	ID128	ID260	DD149	ID221	ID266	ID188	ID133	DD121	ID51	ID120	ID6	ID262	ID34	ID113	DD157	ID210	DD151	ID104	ID35	ID127	ID217	ID46	DD102	ID47	ID211	ID241	DD48	ID129	DD89	DD93	ID235	ID40	ID39	ID87	ID27	ID216	ID38	ID263	DD5	DD161	ID42	ID56	ID110	ID112	DD114	ID117	ID261	ID239	DD152	DD15	ID90	DD58	ID21	ID255	ID29	DD154	DD155	ID30	DD20	DD138	ID8	DD150	ITS3.DD46	DD17	ITS3.DD116	ITS3.DD34	ITS3.DD119	ID55	ID4	ID238	ITS3.DIET43	ITS3.DD58	ITS3.DIET20	ID237	ITS3.DD33	ID109	ITS3.DD102	DD29	ID5	DD33	DD13	DIET13	ITS3.ID115	ITS3.ID129	ITS3.DD107	ITS3.DD143	ITS3.DD155	ITS3.DD123	DIET42	ITS3.ID128	ID140	ID59	DD135	DD118	ID64	ID258	ID50	DD12	ID220	DD160	DD162	DD25	DD63	DD139	ID256	DD120	DD140	ID53	DD146	DD119	ITS3.ID207	DIET26	ITS3.ID246	DD141	ID153	DIET27	ITS3.DD7	ID100	DIET34	ID9	ITS3.ID135	DD145	ID49	ID16	DD10	ID32	DD81	DD106	ID43	ID225	ID37	DD134	DD83	DD85	ID98	ID63	DD90	ID52	ID28	ID31	ID155	ID259	DD107	ID132	DD113	DD123	ITS3.DIET18	ID60	DD111	ID86	ID33	ID17	DD82	DD97	ID230	ITS3.DD43	DD125	DD98	DD36	ITS3.ID214	DIET28	DD8	ITS3.ID124	ID85	ITS3.DD96	ITS3.DD27	DD71	ID106	DD128	ID134	DD64	DD112	ID231	ID95	ID156	DD23	ID131	DD108	DD136	DD132	DD53	ID103	DD86	ID136	DD84	DIET33	DD22	ITS3.DD24	DIET52	ITS3.DD30	ITS3.ID126	ITS3.ID145	ITS3.ID127	ITS3.DD79	DD80	DD116	DD70	ITS3.ID140	ITS3.DD137	DD18	DD2	ID61	ID254	DD133	DD110	DD28	ID83	DD137	DD65	ID264	DD169	DD59	ITS3.ID92	ITS3.ID217	ITS3.DD17	ITS3.DD98	DD3	ID36	ITS3.DD38	ITS3.DD31	ITS3.ID87	ITS3.DIET16	ID25	DD27	ID57	ITS3.ID170	ITS3.DD130	ITS3.DD75	DIET39	DD43	ITS3.DD99	DD6	DD24	ITS3.DD32	DD7	DD87	ITS3.DD10	ID257	ITS3.DD146	ITS3.DIET54	ITS3.DIET4	DD168	ITS3.DIET22	DIET17	DD72	ITS3.ID177	ID97	DD104	DD96	DD144	DD153	DD164	DD79	DD34	DD67	ID91	DD148	ITS3.DD65	ITS3.ID119	ITS3.DD86	ITS3.DD51	ITS3.ID56	ITS3.DD5	DD115	ITS3.ID95	ITS3.DIET6	ITS3.DD4	ITS3.ID89	ID125	DD32	ITS3.ID55	ITS3.ID191	ITS3.DD67	ITS3.DD36	DIET9	DIET2	ITS3.DD53	ITS3.DD18	DD30	ITS3.DD90	ITS3.DD129	ITS3.DD68	DIET51	ITS3.ID110	ITS3.DD45	ITS3.ID97	ITS3.DD89	ITS3.DD13	ITS3.DIET56	ITS3.DD61	ITS3.DD141	ITS3.DD70	ITS3.DD149	ITS3.DD48	ITS3.DD151	DIET14	ITS3.DIET8	DD61	ITS3.DD77	ITS3.DD21	ITS3.DD47	ID124	DD4	ITS3.DD139	DIET46	ITS3.ID85	ITS3.ID162	DIET32	DIET30	DIET38	ITS3.ID83	ITS3.DD59	DIET18	DIET5	ITS3.DD25	ITS3.ID43	ITS3.DD3	DIET10	ITS3.DD44	ITS3.ID113	DD39	DD122	DD44	DIET1	ITS3.DD84	ITS3.DD20	DIET6	DIET31	DD147	ITS3.DD140	ITS3.DD28	ITS3.ID100	ITS3.ID221	DIET22	DIET21	DD60	ITS3.DD122	ITS3.DD85	ITS3.DD125	ITS3.DD144	ITS3.ID201	DD129	DD21	ITS3.DD64	DIET50	DIET45	DD14	ITS3.ID109	ITS3.DD15	ITS3.DD121	DIET44	ITS3.DD153	ITS3.DIET34	ITS3.ID104	ITS3.ID117	ITS3.DD23	ITS3.DD12	ITS3.DD124	ITS3.ID256	ITS3.DIET25	ITS3.DD42	ITS3.DD22	ITS3.DD132	ITS3.ID134	ITS3.ID86	ITS3.DD63	ITS3.ID223	ITS3.ID199	DIET29	ITS3.ID131	ITS3.ID209	ITS3.DD120	ITS3.DIET37	ITS3.ID133	ITS3.DD148	ITS3.ID132	ITS3.DD108	ITS3.DD112	ITS3.DD14	ITS3.DD105	ITS3.ID8	ITS3.ID136	ITS3.DD113	ITS3.ID99	ITS3.DD60	ITS3.DD80	ITS3.ID231	ITS3.DD134	ITS3.ID138	ITS3.ID106	ITS3.ID103	ITS3.ID220	ITS3.DD92	ITS3.DD41	ITS3.DD6	ITS3.ID47
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	7684	7543	4	2	6005	2997	9289	8208	0	154	0	1583	2111	11460	2906	2656	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1949	10122	5488	2187	2	2	10	34	0	7	0	0	0	0	1	0	0	0	7210	4234	2912	9	3	5480	6823	4311	5569	13451	2648	2591	6161	4510	3837	5038	5045	8238	7746	7620	13943	1093	7188	6277	2842	3159	13923	1834	6818	8517	4656	13567	9078	18877	5457	2086	1750	5068	3810	5140	6022	7692	762	1042	14981	4960	8261	5310	5760	11977	8144	9168	5863	7659	9920	1527	14841	4322	3103	5927	4821	8441	2332	868	9302	1155	5077	13392	8803	4062	5504	23143	1765	513	12605	590	9	6292	284	8	162	7356	6187	7614	0	25	5	1225	3	3308	116	742	2254	298	4791	0	7	2	21	26	1	7	0	35	2326	24295	2971	3514	5810	8451	8648	3025	4491	12928	7125	3969	1341	2224	11387	2092	2358	11494	2762	4148	12	1	9	3193	2417	0	4	979	26	9575	15	582	12040	8708	3170	8670	2513	3171	10963	4035	1831	2674	957	547	14319	3587	364	2079	2602	9874	26301	2294	540	10036	3038	835	0	2734	457	879	2625	2346	1045	1013	5917	0	1725	1920	953	2	18	3795	2	5953	15	11	2165	3766	1826	11243	2871	1120	4561	6504	8677	866	17668	2082	1615	1486	876	691	317	10850	1648	28	1671	4	0	3	3	4	0	3	222	1852	875	1	8	2097	2619	4262	1393	629	2148	2144	2284	1715	1786	936	2626	458	1	3	4	13	1207	4467	3	4	6	5	1695	2271	866	6	2	2	1	813	3	2611	2119	5	2178	1533	10	6007	3	12	6	9475	9	1	789	3	4388	4617	840	675	1592	3827	1256	1350	640	5502	1661	6	2	1	0	0	3	574	1	1	5	7	3173	2377	1	6	0	1	0	0	4	0	1075	1	2	2	0	1	3	6	3	6	8	2	6	1	5	4	1	0	4	1348	1	1	3	33	309	3	5	1	1	3	0	16	0	2	0	0	0	5	3	0	2	4	1813	1458	1073	0	5	2	0	0	1009	2	0	0	1	0	2	1267	2	1	4	2	1	935	1157	0	0	0	270	3	1	1	2	1	0	2	1	1	1	1	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	0	0	75	11	0	0	0	0	3	1104	0	1	30	0	3	0	295	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	17	0	17	96	441	0	76	0	0	0	0	1	0	0	0	1	3	0	62	9	27	0	0	0	0	1	0	0	0	0	69	0	1	0	0	0	1	0	0	0	296	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	12	0	0	0	0	0	0	0	4	73	0	1841	44	967	0	0	3	32	273	77	7	46	0	764	1	0	8	2	1	35	6	199	148	4	56	0	204	0	128	1	2	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	155	3	32	0	0	0	48	2	0	0	84	2	0	0	3	1	1	0	0	19	4	0	0	0	0	16	0	2	0	0	2	31	13	0	0	0	25	0	1	0	0	0	0	0	3	3	0	0	0	71	0	0	15	0	87	42	2	0	0	2	0	0	0	0	0	6	0	0	8	1	0	0	2	0	0	0	0	52	0	55	6	58	3	9	0	1	0	17	24	0	0	0	1	1	108	1	0	0	0	0	0	0	16	44	39	130	0	3	48	76	41	55	0	0	2	59	23	21	0	1	22	1	1	24	1	0	73	0	12	155	106	1	133	0	0	32	0	1	1	1	0	0	0	2	1	0	0	39	10	7	19	2	35	0	12	53	55	65	0	0	2	59	10	12	0	0	54	8	0	11	6	39	0	9	36	64	13	66	96	11	47	7	20	52	4	0	56	0	10	17	21	0	0	29	2	4	15	0	0	1	16	25	0	0	9	27	21	0	10	43	0	1	0	0	18	31	0	0	0	14	25	0	27	0	1	1	9	5	6	2	13	15	1	0	0	0	1	17	7	4	0	3	7	16	0	16	7	4	12	0	1	1	2	7	1	0	2	0	0	7	5	8	1	1	7	1	4	1	4	0	2	2	1	1	2	6	2	2	1	4	2	0	0	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae	1180	1263	1	0	22192	305	841	1153	0	54	0	848	7130	2720	681	3631	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4754	2467	10	4511	0	0	6	13	0	1	0	0	0	0	0	1	0	1	1009	933	549	0	0	3397	2928	7388	6927	4488	3549	343	2796	1324	898	3129	6469	2410	749	3075	2381	531	7306	5080	162	615	6975	1578	511	1432	1939	4763	2571	2795	9239	2490	835	1726	5073	166	678	673	743	381	3075	63	1545	4766	2524	11212	899	3565	753	11310	1623	3477	3206	1130	1110	590	292	1563	1714	1046	4818	281	820	3604	6799	3206	1660	855	486	161	266	1547	1	258	96	3	48	3175	163	79	3	3	2	1931	0	17647	38	32	1113	651	301	0	0	0	14	7	1	4	0	10	119	4771	356	331	876	355	2755	636	3050	1771	1934	1054	89	39	732	19	329	42	1283	166	5	0	3	179	79	0	4	813	16	248	2	482	2660	6417	1370	4723	215	1548	752	4065	710	1575	1130	712	1888	4883	625	471	1369	245	3837	1261	538	984	933	847	3	80	33	54	112	795	975	29	68	0	810	164	630	4	5	1505	0	912	6	0	347	2296	15	439	138	42	65	688	243	862	60	27	831	522	132	54	18	82	584	14	290	5	0	3	1	5	0	0	19	64	75	2	0	711	110	482	51	20	449	511	101	397	320	12	323	91	0	0	0	4	143	256	4	5	6	1	433	1069	15	5	3	1	0	469	0	731	39	0	35	1086	4	67	1	6	3	298	6	0	136	0	59	1249	395	190	39	53	67	272	93	19	45	1	0	0	1	0	3	567	0	0	1	2	38	22	0	2	0	1	0	0	3	0	45	0	1	2	0	0	2	3	0	3	5	0	4	0	0	1	0	0	1	354	1	1	1	368	98	1	0	0	1	3	1	6	0	0	0	0	0	3	2	0	1	2	44	16	1112	0	1	1	0	0	23	2	1	0	2	0	0	20	0	1	0	0	1	445	19	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1665	1371	5	0	4767	406	2851	2305	0	55	0	2045	13792	4711	1575	4888	21	0	0	0	0	0	1	0	0	3	0	0	0	2	0	2469	1879	188	9124	1	1	3	12	0	2	0	0	0	0	3	1	1	1	1642	1725	1086	1	1	8181	6695	5250	5112	6510	3922	2350	1116	3284	3037	14390	1589	6214	2778	3174	3072	1524	2482	2998	2474	1396	4154	3253	1257	4628	1113	5192	5338	3861	2557	6068	804	7279	6034	1949	1976	2197	918	488	6247	7738	4450	973	6210	2200	3160	1845	1019	2146	4168	7371	2109	1371	649	1388	1176	2923	3429	2793	1782	1320	3894	5196	1971	5734	3820	5071	1038	347	12879	5634	2	1361	71	1	46	12451	834	430	0	11	5	5450	2	5221	22	967	2735	2384	725	0	2	0	10	2	1	2	0	10	2108	6375	853	801	1733	1128	2808	1376	4358	2760	3902	1008	447	81	1770	121	676	13101	1698	1056	2	0	1	618	1483	0	0	4404	22	1013	6	1623	4383	3365	792	10022	956	1023	2254	15447	4127	929	1386	947	10066	11209	1365	6655	9241	8922	7606	5332	1381	2212	862	623	1	2364	2944	1181	5533	5222	1928	128	1033	0	817	1344	1346	4	16	1200	0	2670	3	1	1797	4063	97	1986	784	1165	13053	1776	951	1908	9945	66	2618	2253	354	4155	1334	399	1676	28	867	2	1	1	1	0	0	0	256	541	629	1	0	1526	2001	1804	1555	565	1365	1022	1594	2345	2369	698	2550	1398	1	2	0	5	2385	14916	0	5	6	0	2247	431	846	1	1	0	3	3571	1	1168	305	0	156	1911	1	18329	0	6	2	1295	2	0	522	1	1326	2620	774	2131	194	10228	1103	2288	1313	10456	249	1	1	0	0	0	2	155	1	0	2	3	236	172	0	2	1	2	0	0	1	0	376	1	0	2	0	0	1	5	1	8	2	1	1	1	3	0	0	0	3	287	0	1	0	1346	1290	2	0	0	0	3	0	18	0	0	0	0	0	0	3	0	1	2	272	87	1745	0	0	1	0	1	81	0	1	0	2	0	1	78	2	0	0	0	0	1492	83	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	8559	1808	3	1	2921	600	3410	2168	0	60	0	820	955	7551	2464	7371	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	569	3561	70	1631	0	1	7	27	0	3	0	0	0	0	0	0	0	0	5838	1503	2651	5	0	1303	2042	532	1610	3020	2852	1219	2344	2588	1094	3077	1097	4748	2878	1516	6702	691	5461	1258	101	1318	4703	2102	1960	9781	926	180	5945	5207	7289	1605	324	143	182	25	2472	1284	180	499	9170	21	1541	3623	9904	5936	1329	1771	1423	4768	576	551	3935	3983	334	7150	1438	4531	2070	545	3663	359	4032	7028	6827	48	1768	791	531	114	131	1153	4	1843	123	5	60	2095	1024	1411	2	16	5	663	3	2802	41	27	4411	570	1075	0	1	0	11	9	1	5	0	14	122	10383	950	1259	2963	4829	3737	1462	2695	4105	4314	1185	260	303	2300	136	523	0	1664	967	18	0	2	981	60	1	4	3588	3	3105	6	295	6937	1575	902	2604	6	1144	65	4791	1522	1223	70	127	8670	1305	30	5157	1554	182	95	1123	903	63	1333	791	2	3	1	0	81	1964	294	394	765	0	651	655	1044	5	2	2598	0	2569	6	0	594	1140	160	737	1178	2	2	2111	2561	981	22	158	1125	454	122	2	1	280	26	7	373	5	0	2	0	3	0	0	0	922	76	0	1	1662	815	5316	9	0	1107	1785	30	717	913	9	802	44	0	1	3	10	282	236	0	4	2	2	899	811	7	2	2	4	0	1423	2	781	18	2	485	62	3	4	0	7	6	868	10	0	312	2	270	149	3	426	338	4	350	1293	333	6	432	1	0	0	0	0	3	228	0	6	1	2	475	189	0	3	0	2	0	0	3	0	484	2	0	1	0	0	0	3	0	12	6	0	3	0	3	2	0	0	5	281	1	1	2	28	97	0	1	0	0	1	0	6	0	0	0	0	1	2	0	0	2	2	495	176	48	0	1	2	0	0	141	0	1	0	5	0	1	46	0	2	0	1	1	1011	99	0	0	0	11	2	0	0	1	1	0	2	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	2	859	1	0	476	253	797	737	0	0	0	798	107	457	111	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1495	31	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	601	212	0	0	152	852	41	0	1829	320	413	81	5	0	28	217	1	352	633	45	80	14	1	553	190	34	1	17	47	536	412	221	1724	1	438	661	637	8270	22	5	1589	11	316	104	7	5687	330	194	1807	861	21	803	15695	4467	9	409	1748	788	116	6	367	481	28	16	242	65	15	39	700	5923	599	400	23	51	70	0	218	0	2	0	321	72	7	0	0	0	119	0	4	0	57	421	25	131	0	0	0	0	0	0	0	0	0	11	707	9	104	541	964	12	267	3	840	2352	1074	1	748	3	83	4	13	101	5	2	0	0	2	12	0	0	0	3	90	0	2	506	40	125	193	67	374	369	24	124	511	144	94	19	234	50	0	61	80	877	12	14	3090	840	392	0	31	7	37	41	3	248	65	157	0	207	144	291	0	2	290	0	9	0	0	17	1127	307	2557	5	110	0	3	67	10	14	168	19	62	72	6	29	266	93	6	416	0	0	0	0	0	0	0	19	3	33	0	0	566	101	0	1	47	307	308	157	308	10	0	41	59	0	1	0	0	5	96	0	0	0	0	10	716	1	0	0	0	0	24	0	246	107	0	620	72	0	55	0	0	0	0	1	0	0	0	71	283	118	12	129	2	37	48	26	8	149	0	0	0	0	0	0	133	0	1	0	0	212	435	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	41	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	153	276	36	0	0	0	0	0	278	0	0	0	0	0	0	282	0	0	0	0	0	21	174	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635	0	0	0	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__conglomeratum	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	1	0	0	1	0	9	0	0	18	0	15	5	0	0	3	88	0	0	0	0	11	0	0	0	7374	0	78	6085	8718	1038	928	704	8751	8126	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3848	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	10	0	0	0	0	1	0	6	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	63	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	24	0	1	103	0	33	26	1	0	2	184	0	0	0	0	36	0	0	0	15294	0	11	8530	13101	3352	4920	3361	20351	17641	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	79	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	3	114	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	648	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter	0	0	0	0	14	97	14	881	0	0	0	14	0	31	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	27	0	0	1	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	61	0	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	306	996	0	0	0	250	0	0	0	1	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0	10	0	0	81	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	20	0	0	15	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	15	28	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
