#OTU ID	EMC04.441704	EM056.T3.441716	EM034.441676	EM056.441606	EM059.T3.441604	EM068.441712	EM086.441698	EM082.441607	EM065.441667	EM079.441724	EM124.441697	EM044.441601	EM040.441709	EM072.T3.441632	EM094.T3.441588	EM071.441747	EM039.441743	EM092.441616	EM090.T3.441662	EM076.441622	EM062.441720	EM150.441648	EM165.441597	EM061.441673	EMC01.441661	EM083.T3.441744	EM070.441682	EM133.441663	EMC09.441635	EM156.441613	EM108.441694	EMC05.441628	EM122.441699	EM059.441715	EM031.441732	EM049.T3.441671	EM130.441701	EMC07.441636	EM081.441618	EM134.441735	EM168.441668	EM167.441702	EM063.T3.441695	EM052.441625	EM146.441718	EM078.441658	EM140.441608	EM093.441602	EM091.441686	EM074.441596	EM095.T3.441590	EM057.441605	EM064.441592	EM152.441730	EM141.441684	EM086.T3.441746	EM144.441736	EM102.441633	EMC06.441610	EM101.441623	EM055.441603	EM145.441690	EM063.441621	EM178.441705	EM113.441619	EM131.441591	EM054.T3.441749	EM109.441669	EM118.441693	EM138.441753	EM100.441714	EM058.441637	EM066.T3.441647	EM169.441653	EM103.441691	EM043.441739	EM151.441595	EM147.441617	EM155.441678	EM117.441609	EM174.441652	EM036.441587	EMC08.441752	EM050.441672	EM065.T3.441614	EM136.441650	EM080.441727	EM111.441634	EM163.441642	EM042.441674	EM162.441728	EM033.441685	EM100.T3.441627	EM110.441723	EM084.441599	EM077.T3.441639	EM182.441681	EM098.441733	EM159.441719	EM222.441725	EM055.T3.441626	EM075.441644	EM046.441741	EM054.441707	EM126.441679	EM073.T3.441721	EM179.441612	EM071.T3.441734	EM072.441643	EM125.441659	EM173.441754	EM093.T3.441670	EM038.441649	EM066.441656	EM032.441683	EM129.441689	EM114.441710	EMC03.441713	EM090.441664	EM112.441630	EM049.441600	EM142.441711	EM116.441657	EM067.441615	EM060.T3.441729	EM096.441706	EM094.441640	EM148.441631	EM085.441675	EM160.441703	EM047.441722	EM057.T3.441589	EM106.441745	EM149.441655	EM047.T3.441645	EM132.441696	EM053.441738	EM098.T3.441740	EM166.441748	EM115.441641	EM158.441731	EM088.441638	EM087.441726	EM089.441742	EM170.441651	EM209.441665	EM137.441680	EM107.441620	EM105.441629	EM073.441594	EM123.441687	EM089.T3.441624	EM077.441646	EM083.441666	EMC02.441750	EM053.T3.441688	EM082.T3.441751	EM035.441593	EM139.441611	EM099.441708	EM069.441700	EM180.441692	EM135.441660	EM183.441654	EM095.441717	EM060.441677	EM037.441737	EM161.441598
4391009	32	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350071	7	7123	0	5260	3	0	0	0	0	0	0	2581	0	0	0	0	0	168	0	0	1786	0	0	0	0	4	0	0	1	108	0	0	0	0	0	0	1173	0	0	1322	21	202	0	2119	29	0	0	0	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	0	2670	0	0	0	0	0	42	0	0	0	0	0	0	1	0	0	0	2	0	1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2656	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292057	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	39	0	0	0	0	0	0	0	0	0	30	0	0	0	0	1	0	18	0	0	0	0	6	0	3	0	0	0	0	2	6	0	0	4	0	1	0	0	0	0	0	4	0	0	5	4	6	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	4	0	0	0	0	0	2	135	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	7	0	0	1	0	0	3	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
228199	169	69	464	128	22	0	35	0	0	378	2021	362	63	78	65	109	37	5	828	115	11	192	153	688	185	0	827	477	238	683	63	1	0	96	181	335	183	217	258	130	147	60	374	147	483	41	98	274	923	287	54	0	0	0	551	101	20	422	435	62	0	376	1288	39	244	0	0	17	393	3	258	77	14	125	0	0	55	3	237	0	2	94	83	135	0	164	0	302	66	264	379	196	174	147	77	0	1	401	114	80	0	104	0	15	122	122	119	207	69	245	45	8	0	27	373	66	90	0	0	134	193	0	44	6	156	96	63	297	0	119	0	4	36	36	0	4	0	398	11	352	45	0	128	48	64	19	6	21	6	0	0	129	0	0	1	0	0	0	0	2	33	95	1	12	5	78	0	0
1107027	0	0	0	0	0	0	0	0	0	1	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1040889	86	7	0	32	0	0	6	0	39	4	7	9	3	25	80	1	38	5	57	0	12	6	0	86	84	2	57	47	6	3	14	17	0	41	95	75	65	39	1365	6	4	0	4	55	23	10	14	232	79	3	186	12	48	13	54	6	1	3	19	1	10	139	146	3	271	30	8	9	2	3	6	72	8	8	7	8	71	0	0	8	2	105	18	1	8	10	0	0	50	43	1	248	18	7	122	31	0	0	0	12	8	7	1	9	0	0	12	30	11	0	0	45	0	3	1	7	8	4	15	0	29	4	4	4	66	8	13	1	54	1	0	107	2	4	0	1	12	0	34	0	55	45	38	1	2	0	6	1	20	0	20	74	1	0	11	1	2	70	3	7	0	0	1	0	4	23	1	0
103730	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000113	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
