#SampleID	Var	ControlVar
SRS045466.572805	Oral	969:241860
SRS022858.574406	Gastrointestinal_tract	969:241698
SRS046524.575675	Oral	969:257131
SRS020663.571201	Oral	969:241776
SRS022872.574588	Oral	969:241698
SRS018098.572885	Oral	969:241671
SRS042427.572607	Oral	969:241853
SRS050640.572251	Oral	969:241883
SRS046196.571867	Oral	969:241854
SRS063307.570653	Gastrointestinal_tract	969:268866
SRS021790.576317	Gastrointestinal_tract	969:241849
SRS020819.576363	Oral	969:241677
SRS011410.570454	Gastrointestinal_tract	969:241709
SRS015389.573465	Gastrointestinal_tract	969:241682
SRS011410.572647	Gastrointestinal_tract	969:241709
SRS018011.572132	Oral	969:241734
SRS013199.576420	Oral	969:241704
SRS017127.570765	Oral	969:241814
SRS017894.572520	Oral	969:241799
SRS018741.572243	Oral	969:241832
SRS052428.572963	Oral	969:241869
SRS058527.570420	Oral	969:241886
SRS011359.571824	Oral	969:241767
SRS052921.572232	Oral	969:241856
SRS016657.574472	Oral	969:241713
SRS013228.572778	Oral	969:241833
SRS021746.571641	Oral	969:241706
SRS052697.573305	Gastrointestinal_tract	969:241862
SRS014277.572718	Oral	969:241825
SRS013563.573813	Oral	969:241796
SRS017080.574607	Oral	969:241705
SRS015462.575914	Oral	969:241743
SRS014653.570582	Oral	969:241720
SRS015921.575078	Oral	969:241778
SRS063087.571805	Oral	969:241863
SRS015518.572205	Gastrointestinal_tract	969:241707
SRS016642.570844	Oral	969:241713
SRS017133.574750	Oral	969:241814
SRS014347.573373	Oral	969:241736
SRS014140.572638	Oral	969:241736
SRS016158.574576	Oral	969:241696
SRS016056.575793	Gastrointestinal_tract	969:241741
SRS054669.573720	Oral	969:241864
SRS018019.570234	Oral	969:241734
SRS021873.575785	Oral	969:241744
SRS016874.572702	Oral	969:241745
SRS057447.570806	Gastrointestinal_tract	969:241872
SRS042427.572472	Oral	969:241853
SRS058416.575342	Gastrointestinal_tract	969:241869
SRS011565.574053	Oral	969:241834
SRS065501.572757	Oral	969:268876
SRS015921.574456	Oral	969:241778
SRS017127.570918	Oral	969:241814
SRS049453.570822	Oral	969:241869
SRS057689.571082	Oral	969:241863
SRS016156.575473	Oral	969:241696
SRS015121.572624	Oral	969:241850
SRS015623.575571	Oral	969:241784
SRS058474.573978	Oral	969:257131
SRS057361.570798	Oral	969:241856
SRS020811.575527	Gastrointestinal_tract	969:241677
SRS013565.574972	Oral	969:241796
SRS018595.576550	Oral	969:241758
SRS064558.571471	Oral	969:257130
SRS014570.570402	Oral	969:241730
SRS016865.573324	Oral	969:241745
