#SampleID	Var	ControlVar
SRS054669.573720	Subgingival_plaque	969:241864
SRS017904.574100	Subgingival_plaque	969:241799
SRS016543.575570	Subgingival_plaque	969:241831
SRS045460.575845	Subgingival_plaque	969:241860
SRS016364.575956	Subgingival_plaque	969:241839
SRS043032.573038	Subgingival_plaque	969:241873
SRS014821.572725	Subgingival_plaque	969:241793
SRS011638.572652	Subgingival_plaque	969:241795
SRS052682.574873	Subgingival_plaque	969:257131
SRS018805.575518	Subgingival_plaque	969:241731
SRS056498.573585	Subgingival_plaque	969:241852
SRS011547.571079	Subgingival_plaque	969:241837
SRS015788.572137	Subgingival_plaque	969:241685
SRS019261.575994	Subgingival_plaque	969:241800
SRS014921.574818	Subgingival_plaque	969:241808
SRS015931.573834	Subgingival_plaque	969:241778
SRS054669.576548	Subgingival_plaque	969:241864
SRS018159.571532	Subgingival_plaque	969:241828
SRS056396.572402	Subgingival_plaque	969:241856
SRS011433.572687	Subgingival_plaque	969:241709
SRS050617.570719	Subgingival_plaque	969:241880
SRS053216.574154	Subgingival_plaque	969:241853
SRS015245.571086	Subgingival_plaque	969:241729
SRS052681.576308	Subgingival_plaque	969:257133
SRS016610.573712	Subgingival_plaque	969:241690
SRS056498.576617	Subgingival_plaque	969:241852
SRS047158.571965	Subgingival_plaque	969:241893
SRS011175.571936	Subgingival_plaque	969:241686
SRS015472.574486	Subgingival_plaque	969:241743
SRS022884.574755	Subgingival_plaque	969:241698
SRS062618.574788	Subgingival_plaque	969:268876
SRS021690.571459	Subgingival_plaque	969:241688
SRS013664.572303	Subgingival_plaque	969:241672
SRS053216.576268	Subgingival_plaque	969:241853
SRS016168.573362	Subgingival_plaque	969:241696
SRS015980.575310	Subgingival_plaque	969:241769
SRS011470.571192	Subgingival_plaque	969:241760
SRS050493.572276	Subgingival_plaque	969:241874
SRS014605.570615	Subgingival_plaque	969:241693
SRS064707.573364	Subgingival_plaque	969:268878
SRS013788.573987	Subgingival_plaque	969:241819
SRS022251.576574	Subgingival_plaque	969:241786
SRS057069.574886	Subgingival_plaque	969:241886
SRS050262.571199	Subgingival_plaque	969:241872
SRS062886.576447	Subgingival_plaque	969:268877
SRS014677.575520	Subgingival_plaque	969:241720
SRS015635.572741	Subgingival_plaque	969:241784
SRS014677.573693	Subgingival_plaque	969:241720
SRS016333.573787	Subgingival_plaque	969:241813
SRS022824.575995	Subgingival_plaque	969:241816
SRS020781.572164	Subgingival_plaque	969:241780
SRS015683.574418	Subgingival_plaque	969:241845
SRS013474.572674	Subgingival_plaque	969:241666
SRS013474.573185	Subgingival_plaque	969:241666
SRS020667.576084	Subgingival_plaque	969:241776
SRS014367.571815	Subgingival_plaque	969:241736
SRS011289.576319	Subgingival_plaque	969:241748
