#SampleID	Var	ControlVar
SRS022858.574406	Stool	969:241698
SRS021790.576317	Stool	969:241849
SRS011410.570454	Stool	969:241709
SRS015389.573465	Stool	969:241682
SRS011410.572647	Stool	969:241709
SRS015518.572205	Stool	969:241707
SRS016056.575793	Stool	969:241741
SRS057447.570806	Stool	969:241872
SRS058416.575342	Stool	969:241869
SRS020811.575527	Stool	969:241677
SRS014978.570429	Stool	969:241727
SRS018427.575694	Stool	969:241826
SRS019990.576063	Stool	969:241847
SRS015782.570244	Stool	969:241685
SRS050733.571338	Stool	969:241859
SRS018068.575993	Stool	969:241836
SRS013386.571770	Stool	969:241666
SRS018133.570446	Stool	969:241828
SRS013386.571797	Stool	969:241666
SRS016630.575910	Stool	969:241713
SRS020413.572892	Stool	969:241680
SRS023671.575037	Stool	969:241751
SRS042387.574196	Stool	969:257131
SRS013543.571468	Stool	969:241796
SRS011271.570242	Stool	969:241748
SRS044415.571480	Stool	969:241860
SRS016954.573937	Stool	969:241705
SRS014923.575333	Stool	969:241808
SRS020983.570993	Stool	969:241806
SRS014885.571435	Stool	969:241830
SRS020527.573698	Stool	969:241821
SRS015133.575616	Stool	969:241850
SRS020233.571448	Stool	969:241798
SRS011415.570853	Stool	969:241673
SRS020350.575544	Stool	969:241726
SRS011157.572834	Stool	969:241686
SRS014659.575591	Stool	969:241720
SRS011300.570651	Stool	969:241767
SRS011653.575556	Stool	969:241764
SRS018313.575129	Stool	969:241695
SRS020233.575311	Stool	969:241798
SRS013638.573699	Stool	969:241672
SRS017455.572226	Stool	969:241721
SRS022291.574760	Stool	969:241841
SRS011415.570700	Stool	969:241673
SRS017821.573378	Stool	969:241711
SRS014659.570377	Stool	969:241720
SRS011271.575925	Stool	969:241748
SRS011300.575427	Stool	969:241767
SRS054608.570991	Stool	969:241893
SRS015452.570749	Stool	969:241743
SRS011586.574634	Stool	969:241783
SRS014369.575805	Stool	969:241736
SRS017191.571061	Stool	969:241838
SRS020755.570974	Stool	969:241780
SRS020584.572609	Stool	969:241740
SRS015663.574452	Stool	969:241845
SRS018370.571565	Stool	969:241797
SRS021724.575151	Stool	969:241706
SRS055482.574421	Stool	969:241878
SRS011452.573598	Stool	969:241760
SRS014287.575983	Stool	969:241825
SRS011653.571620	Stool	969:241764
SRS018427.573990	Stool	969:241826
SRS015332.574075	Stool	969:241811
SRS049823.574392	Stool	969:257127
SRS021853.576597	Stool	969:241744
SRS015724.576129	Stool	969:241756
SRS015452.575102	Stool	969:241743
SRS053335.574838	Stool	969:241864
SRS053335.576563	Stool	969:241864
SRS015247.573888	Stool	969:241729
SRS022546.571178	Stool	969:241817
SRS022354.575121	Stool	969:241768
SRS011586.570758	Stool	969:241783
SRS011452.570650	Stool	969:241760
SRS047642.574920	Stool	969:257122
SRS022033.573903	Stool	969:241738
SRS022033.571876	Stool	969:241738
SRS015599.573980	Stool	969:241784
SRS016335.574806	Stool	969:241813
SRS062610.573115	Stool	969:268877
SRS021304.570956	Stool	969:241735
SRS015578.571615	Stool	969:241802
SRS023242.573391	Stool	969:241770
SRS017307.573991	Stool	969:241839
SRS011621.574052	Stool	969:241795
SRS063524.570449	Stool	969:268869
SRS024682.575524	Stool	969:241753
SRS042415.573963	Stool	969:241854
SRS017394.570518	Stool	969:241703
SRS017997.575028	Stool	969:241734
SRS016990.572825	Stool	969:241746
SRS017394.572238	Stool	969:241703
SRS013801.571266	Stool	969:241794
SRS017394.575884	Stool	969:241703
SRS044146.570376	Stool	969:257133
SRS017394.574155	Stool	969:241703
SRS016152.575818	Stool	969:241696
SRS014999.573319	Stool	969:241718
SRS011157.576495	Stool	969:241686
SRS011413.574891	Stool	969:241702
SRS014287.574014	Stool	969:241825
SRS045414.575582	Stool	969:241874
SRS018733.576038	Stool	969:241832
SRS020290.575215	Stool	969:241829
SRS046313.573233	Stool	969:241891
SRS046382.571580	Stool	969:241875
SRS021065.570555	Stool	969:241694
SRS018250.572026	Stool	969:241785
SRS018817.576371	Stool	969:241731
SRS016095.576115	Stool	969:241701
SRS045613.573221	Stool	969:241879
SRS052471.571491	Stool	969:241852
SRS016841.574223	Stool	969:241745
SRS013762.575688	Stool	969:241819
SRS014978.574493	Stool	969:241727
SRS019990.575633	Stool	969:241847
SRS065466.573967	Stool	969:257130
SRS016517.572220	Stool	969:241831
SRS011405.573854	Stool	969:241834
SRS063068.571182	Stool	969:268878
SRS017764.574643	Stool	969:241782
SRS064335.576415	Stool	969:268865
SRS014442.576591	Stool	969:241812
SRS016841.576191	Stool	969:241745
SRS048838.571581	Stool	969:241863
SRS019267.572944	Stool	969:241800
SRS021109.576014	Stool	969:241801
SRS063138.571059	Stool	969:268876
SRS017878.574593	Stool	969:241799
SRS022159.574664	Stool	969:241683
SRS016400.574860	Stool	969:241749
SRS013490.574260	Stool	969:241676
SRS043804.574131	Stool	969:241886
SRS017701.572771	Stool	969:241710
SRS013177.574389	Stool	969:241704
SRS021241.571478	Stool	969:241669
SRS017103.576059	Stool	969:241814
SRS015190.574603	Stool	969:241675
SRS011621.570901	Stool	969:241795
SRS015911.574784	Stool	969:241778
SRS015911.572245	Stool	969:241778
SRS014613.575883	Stool	969:241693
SRS020926.575158	Stool	969:241752
SRS014823.573220	Stool	969:241793
SRS020641.575934	Stool	969:241776
SRS013687.574921	Stool	969:241725
SRS014442.574962	Stool	969:241812
SRS016517.576573	Stool	969:241831
SRS011413.572250	Stool	969:241702
SRS057267.575683	Stool	969:241873
SRS052471.570830	Stool	969:241852
SRS011405.576483	Stool	969:241834
SRS023365.574376	Stool	969:241697
SRS016437.570695	Stool	969:241846
SRS018076.571839	Stool	969:241671
SRS018607.575108	Stool	969:241758
SRS015960.575325	Stool	969:241769
SRS013490.572039	Stool	969:241676
SRS021853.573601	Stool	969:241744
SRS013216.572775	Stool	969:241833
SRS023791.575870	Stool	969:241742
SRS020470.572461	Stool	969:241733
SRS015281.574499	Stool	969:241787
SRS018190.571470	Stool	969:241765
SRS016753.575947	Stool	969:241715
SRS046349.571012	Stool	969:241853
SRS017266.574666	Stool	969:241724
SRS021664.571072	Stool	969:241688
SRS014345.572672	Stool	969:241844
SRS020290.576064	Stool	969:241829
SRS017641.575969	Stool	969:241775
SRS049157.576520	Stool	969:257123
SRS018817.575802	Stool	969:241731
SRS016018.576061	Stool	969:241708
SRS020698.571008	Stool	969:241759
SRS016916.571068	Stool	969:241792
SRS021427.570998	Stool	969:241754
SRS016267.574460	Stool	969:241681
SRS021175.572518	Stool	969:241842
SRS020869.573690	Stool	969:241679
SRS022798.573725	Stool	969:241816
SRS011529.572499	Stool	969:241837
SRS017103.573710	Stool	969:241814
SRS016203.576485	Stool	969:241687
SRS022225.570741	Stool	969:241786
SRS018489.573389	Stool	969:241667
SRS014572.575816	Stool	969:241730
SRS021364.571294	Stool	969:241774
SRS011529.575498	Stool	969:241837
SRS046349.572107	Stool	969:241853
SRS049959.573354	Stool	969:241884
SRS052196.570693	Stool	969:241890
SRS048853.572732	Stool	969:257113
SRS018607.574882	Stool	969:241758
SRS021427.576368	Stool	969:241754
SRS048722.571397	Stool	969:241857
SRS017641.576524	Stool	969:241775
SRS043804.573505	Stool	969:241886
SRS049959.574584	Stool	969:241884
SRS057267.575643	Stool	969:241873
SRS020527.575553	Stool	969:241821
SRS016585.571610	Stool	969:241690
SRS045466.572805	Tongue_dorsum	969:241860
SRS042427.572607	Tongue_dorsum	969:241853
SRS011359.571824	Tongue_dorsum	969:241767
SRS042427.572472	Tongue_dorsum	969:241853
SRS064558.571471	Tongue_dorsum	969:257130
SRS014952.574697	Tongue_dorsum	969:241727
SRS045258.575468	Tongue_dorsum	969:241864
SRS042643.570444	Tongue_dorsum	969:241886
SRS043574.573665	Tongue_dorsum	969:257131
SRS056834.574669	Tongue_dorsum	969:241874
