#SampleID	COUNTRY
USygt25.F.418747	GAZ:United States of America
USygt27.M.418861	GAZ:United States of America
USygt52.M.418736	GAZ:United States of America
TS4.418810	GAZ:United States of America
USygt37.B1.418521	GAZ:United States of America
USygt11.F.418661	GAZ:United States of America
h186M.1.418788	GAZ:Malawi
USygt10.M.418687	GAZ:United States of America
USygt37.T2.418585	GAZ:United States of America
USygt18.M.418867	GAZ:United States of America
F4T2pre4.418418	GAZ:United States of America
USygt46.M.418453	GAZ:United States of America
USygt32.M.418562	GAZ:United States of America
USchp4Mom.418666	GAZ:United States of America
USygt32.T1.418708	GAZ:United States of America
USygt11.T1.418632	GAZ:United States of America
USygt15.F.418688	GAZ:United States of America
USygt11.T2.418503	GAZ:United States of America
TS195.418848	GAZ:United States of America
USygt49.T1.418399	GAZ:United States of America
USygt53.F.418830	GAZ:United States of America
USygt18.T1.418786	GAZ:United States of America
USygt35.T1.418610	GAZ:United States of America
USygt29.M.418603	GAZ:United States of America
TS111.418684	GAZ:United States of America
TS110.418428	GAZ:United States of America
USygt16.T2.418435	GAZ:United States of America
TS184.418577	GAZ:United States of America
USygt8.F.418739	GAZ:United States of America
h95M.1.418831	GAZ:Malawi
USygt48.T2.418547	GAZ:United States of America
USygt6.T2.418728	GAZ:United States of America
USchp18Mom.418783	GAZ:United States of America
USygt16.F.418383	GAZ:United States of America
USygt40.T1.418834	GAZ:United States of America
USygt19.B1.418817	GAZ:United States of America
USBldChld4.418528	GAZ:United States of America
USygt41.T1.418847	GAZ:United States of America
USygt46.F.418450	GAZ:United States of America
USygt51.M.418844	GAZ:United States of America
USygt43.T2.418799	GAZ:United States of America
USygt42.F.418628	GAZ:United States of America
USygt21.M.418797	GAZ:United States of America
USygt22.T2.418493	GAZ:United States of America
USygt25.B2.418685	GAZ:United States of America
USygt38.T1.418654	GAZ:United States of America
USygt10.T1.418683	GAZ:United States of America
USygt31.M.418440	GAZ:United States of America
USygt33.M.418638	GAZ:United States of America
USchp36Mom.418718	GAZ:United States of America
USygt47.F.418643	GAZ:United States of America
USygt27.T2.418523	GAZ:United States of America
USygt54.T2.418497	GAZ:United States of America
TS8.418379	GAZ:United States of America
TS25.418407	GAZ:United States of America
USygt30.T1.418821	GAZ:United States of America
TS129.418618	GAZ:United States of America
USygt39.T2.418351	GAZ:United States of America
USygt16.T1.418527	GAZ:United States of America
USygt7.T1.418622	GAZ:United States of America
F3T2pre4.418583	GAZ:United States of America
USygt48.T1.418674	GAZ:United States of America
USchp3Child.418614	GAZ:United States of America
TS164.418396	GAZ:United States of America
USygt53.T1.418664	GAZ:United States of America
USchp1Mom.418814	GAZ:United States of America
USygt19.M.418397	GAZ:United States of America
USygt41.F.418802	GAZ:United States of America
h146M.1.418838	GAZ:Malawi
h235M.1.418489	GAZ:Malawi
USygt8.T2.418755	GAZ:United States of America
USygt37.M.418793	GAZ:United States of America
USygt49.B1.418842	GAZ:United States of America
USchp3Mom.418727	GAZ:United States of America
USygt53.T2.418455	GAZ:United States of America
USygt43.F.418760	GAZ:United States of America
h264M.1.418377	GAZ:Malawi
USygt41.T2.418682	GAZ:United States of America
USygt5.T2.418805	GAZ:United States of America
USygt43.M.418520	GAZ:United States of America
h9M.1.418588	GAZ:Malawi
USygt39.T1.418416	GAZ:United States of America
TS127.418550	GAZ:United States of America
USygt52.F.418555	GAZ:United States of America
USchp41Mom.418801	GAZ:United States of America
USchp25Child.418345	GAZ:United States of America
USygt5.F.418630	GAZ:United States of America
TS13.418619	GAZ:United States of America
USygt9.T1.418606	GAZ:United States of America
USygt15.M.418634	GAZ:United States of America
USygt14.M.418857	GAZ:United States of America
USygt44.T1.418626	GAZ:United States of America
USygt12.T1.418615	GAZ:United States of America
USchp35Child.418784	GAZ:United States of America
USygt43.T1.418816	GAZ:United States of America
h85M.1.418596	GAZ:Malawi
USygt31.T1.418408	GAZ:United States of America
USchp33Mom.418698	GAZ:United States of America
USygt50.F.418499	GAZ:United States of America
TS194.418607	GAZ:United States of America
USygt15.T2.418859	GAZ:United States of America
TS109.418691	GAZ:United States of America
USygt48.F.418551	GAZ:United States of America
USygt28.T2.418449	GAZ:United States of America
TS7.418860	GAZ:United States of America
USygt44.M.418360	GAZ:United States of America
USygt9.T2.418652	GAZ:United States of America
USygt16.B1.418368	GAZ:United States of America
USygt23.T1.418854	GAZ:United States of America
USygt25.B1.418792	GAZ:United States of America
USygt17.T1.418600	GAZ:United States of America
h165M.1.418394	GAZ:Malawi
USygt30.T2.418609	GAZ:United States of America
TS14.418541	GAZ:United States of America
USygt22.F.418477	GAZ:United States of America
USygt6.M.418593	GAZ:United States of America
USygt40.T2.418474	GAZ:United States of America
USygt13.M.418644	GAZ:United States of America
USygt10.T2.418815	GAZ:United States of America
USygt50.T1.418743	GAZ:United States of America
USygt9.M.418560	GAZ:United States of America
USygt21.T1.418559	GAZ:United States of America
USygt26.M.418352	GAZ:United States of America
USygt28.M.418808	GAZ:United States of America
USygt11.M.418479	GAZ:United States of America
USygt51.T1.418476	GAZ:United States of America
h305M.1.418771	GAZ:Malawi
USygt37.T1.418580	GAZ:United States of America
USygt47.M.418401	GAZ:United States of America
TS193.418750	GAZ:United States of America
USygt30.F.418729	GAZ:United States of America
h208M.1.418731	GAZ:Malawi
USygt31.T2.418361	GAZ:United States of America
USchp25Mom.418780	GAZ:United States of America
USygt5.M.418357	GAZ:United States of America
USygt25.T1.418406	GAZ:United States of America
F3T1pre4.418699	GAZ:United States of America
USygt22.T1.418770	GAZ:United States of America
USygt2.M.418457	GAZ:United States of America
USygt34.T1.418567	GAZ:United States of America
USygt19.T2.418432	GAZ:United States of America
USchp60Mom.418566	GAZ:United States of America
USygt8.M.418616	GAZ:United States of America
USygt24.T2.418363	GAZ:United States of America
USygt44.T2.418648	GAZ:United States of America
USygt25.T2.418341	GAZ:United States of America
USygt3.T2.418807	GAZ:United States of America
USygt26.T1.418758	GAZ:United States of America
TS1.418828	GAZ:United States of America
USygt27.T1.418441	GAZ:United States of America
USygt13.T2.418745	GAZ:United States of America
USygt6.AS.418353	GAZ:United States of America
USygt38.F.418465	GAZ:United States of America
USygt7.T2.418392	GAZ:United States of America
USygt46.T1.418865	GAZ:United States of America
USygt54.T1.418381	GAZ:United States of America
h68M.1.418773	GAZ:Malawi
USygt54.F.418487	GAZ:United States of America
USygt51.T2.418469	GAZ:United States of America
USygt36.M.418734	GAZ:United States of America
h122M.1.418534	GAZ:Malawi
USygt37.F.418676	GAZ:United States of America
USygt34.F.418402	GAZ:United States of America
USygt20.F.418339	GAZ:United States of America
USygt19.T1.418385	GAZ:United States of America
USygt24.M.418730	GAZ:United States of America
USygt12.T2.418790	GAZ:United States of America
USygt14.T1.418853	GAZ:United States of America
USygt46.T2.418679	GAZ:United States of America
USygt25.S1.418338	GAZ:United States of America
USygt53.M.418452	GAZ:United States of America
k278B.2.418686	GAZ:Malawi
USygt44.B1.418371	GAZ:United States of America
USygt13.T1.418495	GAZ:United States of America
USygt8.T1.418829	GAZ:United States of America
USygt33.T2.418787	GAZ:United States of America
USygt20.M.418572	GAZ:United States of America
USygt49.F.418818	GAZ:United States of America
h147M.1.418531	GAZ:Malawi
TS26.418393	GAZ:United States of America
USygt14.T2.418813	GAZ:United States of America
USygt3.M.418496	GAZ:United States of America
USygt16.M.418462	GAZ:United States of America
USygt28.T1.418827	GAZ:United States of America
USygt47.T1.418692	GAZ:United States of America
TS185.418675	GAZ:United States of America
USygt54.M.418445	GAZ:United States of America
USygt9.B1.418824	GAZ:United States of America
USygt27.F.418639	GAZ:United States of America
TS2.418517	GAZ:United States of America
USygt20.T2.418500	GAZ:United States of America
USygt17.M.418444	GAZ:United States of America
USygt40.F.418369	GAZ:United States of America
USygt14.F.418375	GAZ:United States of America
USygt24.T1.418841	GAZ:United States of America
USygt42.T1.418811	GAZ:United States of America
USygt13.F.418411	GAZ:United States of America
USchp11Child.418850	GAZ:United States of America
h101M.1.418586	GAZ:Malawi
USygt51.F.418349	GAZ:United States of America
USygt45.T2.418535	GAZ:United States of America
USygt30.M.418398	GAZ:United States of America
USygt1.M.418373	GAZ:United States of America
h37M.1.418863	GAZ:Malawi
USygt45.T1.418763	GAZ:United States of America
USygt23.T2.418458	GAZ:United States of America
USygt21.F.418579	GAZ:United States of America
USygt36.T2.418655	GAZ:United States of America
h273M.1.418507	GAZ:Malawi
USygt23.M.418612	GAZ:United States of America
USygt1.F.418592	GAZ:United States of America
USygt21.T2.418484	GAZ:United States of America
USygt49.T2.418670	GAZ:United States of America
h60M.1.418694	GAZ:Malawi
h279M.1.418530	GAZ:Malawi
USygt34.M.418823	GAZ:United States of America
USygt29.T2.418768	GAZ:United States of America
TS128.418470	GAZ:United States of America
USygt22.M.418388	GAZ:United States of America
USygt1.T2.418785	GAZ:United States of America
USygt4.M.418367	GAZ:United States of America
USygt5.T1.418573	GAZ:United States of America
USygt39.F.418756	GAZ:United States of America
USygt20.T1.418564	GAZ:United States of America
USygt38.M.418740	GAZ:United States of America
USygt12.M.418543	GAZ:United States of America
USygt52.T1.418819	GAZ:United States of America
USygt9.F.418438	GAZ:United States of America
h257M.1.418454	GAZ:Malawi
USygt52.T2.418721	GAZ:United States of America
TS163.418636	GAZ:United States of America
USygt48.M.418794	GAZ:United States of America
k278A.2.418424	GAZ:Malawi
h78M.1.418725	GAZ:Malawi
USygt12.F.418502	GAZ:United States of America
USygt29.T1.418673	GAZ:United States of America
TS5.418546	GAZ:United States of America
USygt4.T2.418732	GAZ:United States of America
USchp33ChildA.418742	GAZ:United States of America
USygt40.M.418504	GAZ:United States of America
USygt4.T1.418764	GAZ:United States of America
USygt42.M.418663	GAZ:United States of America
USygt4.F.418451	GAZ:United States of America
USygt17.T2.418720	GAZ:United States of America
USygt23.F.418490	GAZ:United States of America
USygt1.T1.418417	GAZ:United States of America
USchp1Child.418697	GAZ:United States of America
USygt38.T2.418456	GAZ:United States of America
USygt32.T2.418437	GAZ:United States of America
USygt42.T2.418716	GAZ:United States of America
USygt32.S1.418608	GAZ:United States of America
USBldAdlt6.418795	GAZ:United States of America
USygt41.B1.418570	GAZ:United States of America
USygt45.M.418662	GAZ:United States of America
USygt35.T2.418689	GAZ:United States of America
USygt35.M.418364	GAZ:United States of America
USygt44.F.418709	GAZ:United States of America
USygt49.M.418347	GAZ:United States of America
USygt47.T2.418762	GAZ:United States of America
USygt34.T2.418744	GAZ:United States of America
USygt36.T1.418651	GAZ:United States of America
USygt50.T2.418852	GAZ:United States of America
USygt39.M.418483	GAZ:United States of America
USygt25.M.418835	GAZ:United States of America
USygt41.M.418492	GAZ:United States of America
USygt3.T1.418429	GAZ:United States of America
USygt50.M.418681	GAZ:United States of America
USBldChld2.418414	GAZ:United States of America
USchp35Mom.418515	GAZ:United States of America
USygt18.T2.418629	GAZ:United States of America
F4T1pre4.418431	GAZ:United States of America
h10M.1.418706	GAZ:Malawi
USygt45.F.418753	GAZ:United States of America
USygt15.T1.418779	GAZ:United States of America
USygt33.T1.418574	GAZ:United States of America
USchp33ChildB.418578	GAZ:United States of America
USygt7.M.418598	GAZ:United States of America
USygt26.T2.418693	GAZ:United States of America
