#SampleID	SEX
USygt25.F.418747	male
USygt27.M.418861	female
USygt52.M.418736	female
TS4.418810	female
USygt37.B1.418521	male
USygt11.F.418661	male
USygt10.M.418687	female
USygt37.T2.418585	female
USygt18.M.418867	female
F4T2pre4.418418	female
USygt46.M.418453	female
USygt32.M.418562	female
USchp4Mom.418666	female
USygt32.T1.418708	female
USygt11.T1.418632	female
USygt15.F.418688	male
USygt11.T2.418503	female
TS195.418848	female
USygt49.T1.418399	female
USygt53.F.418830	male
USygt18.T1.418786	female
USygt35.T1.418610	male
USygt29.M.418603	female
TS111.418684	female
TS110.418428	female
USygt16.T2.418435	male
TS184.418577	female
USygt8.F.418739	male
USygt48.T2.418547	male
USygt6.T2.418728	male
USchp18Mom.418783	female
USygt16.F.418383	male
USygt40.T1.418834	female
USygt19.B1.418817	male
USBldChld4.418528	female
USygt41.T1.418847	female
USygt46.F.418450	male
USygt51.M.418844	female
USygt43.T2.418799	female
USygt42.F.418628	male
USygt21.M.418797	female
USygt22.T2.418493	male
USygt25.B2.418685	male
USygt38.T1.418654	male
USygt10.T1.418683	female
USygt31.M.418440	female
USygt33.M.418638	female
USchp36Mom.418718	female
USygt47.F.418643	male
USygt27.T2.418523	male
USygt54.T2.418497	female
TS8.418379	female
TS25.418407	female
USygt30.T1.418821	female
TS129.418618	female
USygt39.T2.418351	female
USygt16.T1.418527	male
USygt7.T1.418622	male
F3T2pre4.418583	female
USygt48.T1.418674	male
USchp3Child.418614	female
TS164.418396	female
USygt53.T1.418664	female
USchp1Mom.418814	female
USygt19.M.418397	female
USygt41.F.418802	male
USygt8.T2.418755	male
USygt37.M.418793	female
USygt49.B1.418842	male
USchp3Mom.418727	female
USygt53.T2.418455	female
USygt43.F.418760	male
USygt41.T2.418682	female
USygt5.T2.418805	male
USygt43.M.418520	female
USygt39.T1.418416	female
TS127.418550	female
USygt52.F.418555	male
USchp41Mom.418801	female
USchp25Child.418345	male
USygt5.F.418630	male
TS13.418619	female
USygt9.T1.418606	female
USygt15.M.418634	female
USygt14.M.418857	female
USygt44.T1.418626	male
USygt12.T1.418615	male
USchp35Child.418784	female
USygt43.T1.418816	female
