#OTU ID	SRR521177	SRR521196	SRR521173	SRR521188	SRR521253	SRR521229	SRR521238	SRR521174	SRR521223	SRR521221	SRR521178	SRR521187	SRR521198	SRR521214	SRR521254	SRR521249	SRR521250	SRR521197	SRR521247	SRR521265	SRR521184	SRR521207	SRR521202	SRR521175	SRR521241	SRR521260	SRR521205	SRR521230	SRR521191	SRR521208	SRR521190	SRR518987	SRR521224	SRR521225	SRR521239	SRR521244	SRR521211	SRR521215	SRR521227	SRR521257	SRR521246	SRR515153	SRR521189	SRR521235	SRR521220	SRR521226	SRR521259	SRR521204	SRR521262	SRR521185	SRR521252	SRR521245	SRR521206	SRR521258	SRR521182	SRR521242	SRR521216	SRR521201	SRR521217	SRR521179	SRR521236	SRR521183	SRR521237	SRR521233	SRR521251	SRR521243	SRR521194	SRR521264	SRR521193	SRR521192	SRR521219	SRR521240	SRR521209	SRR521176	SRR521180	SRR521172	SRR521203	SRR521261	SRR521256	SRR521231	SRR521263	SRR521232	SRR521181	SRR521200	SRR521199	SRR521195	SRR521234	SRR521248	SRR521255	SRR521213	SRR521222	SRR521212	SRR521186	SRR521210	SRR521228
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	1484	1205	1210	1514	1092	1435	1586	1633	1567	1219	1420	2032	1120	1325	887	996	1671	1388	1380	1662	1723	865	1367	1084	1469	1371	825	717	1127	1415	1612	1129	1278	1042	1515	1727	1363	1120	955	1269	1055	1246	945	1230	961	1022	1626	1351	1320	1733	1095	2014	1345	1742	1022	2088	1405	1806	2031	1711	1405	1345	1219	1197	766	1260	1484	1141	1197	1854	1483	1680	1710	953	1411	1186	1594	1145	1393	1393	1155	1408	710	1425	1127	1180	1296	1346	1553	947	1436	1491	1408	190	24
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__acidifaciens	40	33	13	21	17	15	27	31	16	69	67	0	28	1	43	15	45	34	3	51	46	14	22	22	15	55	19	7	17	18	36	29	13	38	35	51	58	57	17	21	0	19	6	0	0	11	63	10	10	31	0	86	6	55	24	29	21	23	81	27	2	23	6	23	40	18	15	4	50	39	26	59	29	17	33	8	39	13	47	32	15	45	47	15	19	22	0	30	7	0	0	36	44	2	1
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	96	51	68	99	55	49	52	100	80	26	93	73	38	45	24	26	152	99	54	60	66	69	41	52	53	54	38	52	153	44	74	105	43	14	48	54	23	25	71	53	65	101	44	37	18	58	81	61	56	69	20	53	57	54	45	56	59	48	79	134	28	65	41	26	32	76	119	26	159	98	60	58	55	45	41	68	79	55	54	39	31	38	47	85	55	48	43	49	30	31	19	60	77	42	0
k__Bacteria	0	2	3	0	0	1	0	0	0	1	3	2	3	1	1	6	2	0	3	0	1	3	1	2	0	0	2	3	1	0	2	2	1	3	2	1	0	1	3	2	2	3	1	6	1	3	0	0	2	3	4	1	0	1	1	5	1	1	1	2	2	1	0	7	0	1	1	1	2	1	1	0	2	1	0	3	4	0	1	0	1	0	4	0	0	0	0	3	2	1	1	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia	0	2	0	0	4	0	3	0	0	0	0	0	0	1	14	3	0	0	6	1	2	2	0	0	3	1	0	10	1	1	0	0	1	1	2	2	0	1	1	5	7	0	0	9	0	0	1	6	0	0	14	13	1	5	0	5	2	1	1	0	1	0	3	17	8	1	0	5	0	0	0	1	3	0	0	0	0	0	11	0	1	3	1	0	0	0	3	3	4	0	1	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	0	0	1	0	0	0	3	0	1	0	0	0	0	0	9	3	0	0	2	3	0	0	1	0	4	1	0	5	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	2	3	1	5	2	1	4	0	2	2	0	1	0	1	0	0	3	0	2	0	1	0	1	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
