#OTU ID	EM086.441698	EM082.441607	EM068.441712	EM065.441667	EM059.T3.441604	EMC08.441752	EM079.441724	EM040.441709	EM044.441601	EM124.441697	EM094.T3.441588	EM062.441720	EM134.441735	EM090.T3.441662	EM039.441743	EM106.441745	EM150.441648	EM083.T3.441744	EM071.441747	EMC04.441704	EM095.T3.441590	EM034.441676	EM064.441592	EM091.441686	EM057.441605	EM145.441690	EM063.441621	EM109.441669	EM032.441683	EM061.441673	EM047.T3.441645	EM059.441715	EM056.441606	EM078.441658	EMC01.441661	EM090.441664	EM088.441638	EM070.441682	EM077.441646	EM133.441663	EM055.441603	EM156.441613	EM108.441694	EM049.441600	EM072.T3.441632	EM130.441701	EM165.441597	EM049.T3.441671	EM031.441732	EM168.441668	EM167.441702	EMC07.441636	EM146.441718	EM081.441618	EM093.441602	EM122.441699	EM152.441730	EM140.441608	EM063.T3.441695	EM052.441625	EM047.441722	EM101.441623	EM076.441622	EM102.441633	EM141.441684	EM086.T3.441746	EM054.T3.441749	EMC06.441610	EM137.441680	EM118.441693	EM056.T3.441716	EM100.441714	EMC09.441635	EM093.T3.441670	EM174.441652	EM155.441678	EM074.441596	EM103.441691	EM043.441739	EM138.441753	EM066.T3.441647	EM151.441595	EM178.441705	EM169.441653	EM144.441736	EM147.441617	EM073.T3.441721	EM036.441587	EM050.441672	EM111.441634	EM042.441674	EM136.441650	EM080.441727	EM100.T3.441627	EM110.441723	EM084.441599	EM055.T3.441626	EM065.T3.441614	EM054.441707	EM098.441733	EM159.441719	EM125.441659	EM163.441642	EM162.441728	EM089.T3.441624	EM038.441649	EM075.441644	EM179.441612	EM182.441681	EM071.T3.441734	EM066.441656	EM067.441615	EM126.441679	EM060.T3.441729	EM094.441640	EM046.441741	EM092.441616	EM173.441754	EM057.T3.441589	EM112.441630	EM113.441619	EM131.441591	EM058.441637	EM072.441643	EM077.T3.441639	EM129.441689	EM114.441710	EM089.441742	EM033.441685	EM096.441706	EM148.441631	EM222.441725	EM142.441711	EM116.441657	EM117.441609	EM149.441655	EM132.441696	EM160.441703	EMC03.441713	EM053.441738	EM098.T3.441740	EM115.441641	EM158.441731	EM166.441748	EM170.441651	EM209.441665	EMC02.441750	EM087.441726	EM107.441620	EMC05.441628	EM053.T3.441688	EM105.441629	EM085.441675	EM073.441594	EM180.441692	EM099.441708	EM069.441700	EM123.441687	EM139.441611	EM082.T3.441751	EM183.441654	EM083.441666	EM035.441593	EM037.441737	EM095.441717	EM135.441660	EM060.441677
NR_113067.1_Bacteroides_faecis_strain_MAJ27_16S_ribosomal_RNA_gene__partial_sequence	173	926	1357	601	314	38	78	3	3	257	292	213	185	334	377	59	1214	380	229	214	0	446	22	4	64	1171	3	0	131	2	0	206	567	19	200	142	203	435	46	61	16	0	98	51	40	36	413	225	5	20	102	82	68	0	160	6936	0	4045	63	101	0	114	373	534	2461	120	0	25	350	16	108	26	125	190	8451	0	3	236	23	85	56	141	248	120	99	1223	342	388	2	43	416	373	84	39	29	414	20	365	1	4	54	113	545	1297	261	5	17	655	466	106	43	668	3	0	166	5	85	405	0	31	55	14	78	76	53	360	924	148	787	117	39	180	1091	285	792	1	1121	390	45	309	0	40	54	38	256	1326	62	2	1	83	202	48	149	647	68	3	173	2	178	630	96	623	51	45	0	161	87
NR_028725.2_Lactobacillus_salivarius_strain_HO_66_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	296	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	2	0	0	0	0	0	0	6	0	3	0	2	0	0	0	0	2	0	0	7	18	0	30	0	0	1	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	4	0	0	24	0	0	0	0	0	0	0	0	11	0	137	0	0	0	0	0	0	0	0	4	0	0	0	10	0	4	0	0	0	0	0	0	1	0	7	1	0	0	0	3	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NR_025930.1_Ruminococcus_bromii_strain_ATCC_27255_16S_ribosomal_RNA_gene__partial_sequence	66	0	434	339	24	101	416	312	413	2392	69	892	134	860	1157	51	201	0	117	182	60	471	103	1009	171	417	2150	783	390	719	0	123	133	44	221	165	427	881	297	504	348	844	64	200	80	206	164	355	184	199	67	241	493	266	289	0	273	114	446	159	0	141	123	439	571	120	221	468	11	407	71	265	244	147	2	259	308	1598	0	17	125	747	44	218	38	3	130	100	137	323	271	165	0	185	153	384	254	53	162	414	134	365	78	402	239	782	108	127	144	211	136	6	124	161	70	121	41	45	530	137	253	129	79	75	3	73	93	58	201	121	367	82	720	73	0	93	10	123	38	0	405	382	344	403	72	20	508	139	24	1	0	313	0	97	99	3	111	0	565	1	13	0	0	178	30	118	82
NR_025127.1_Lachnobacterium_bovis_strain_LRC_5382_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	34	1	4	6	1	15	6	4	125	0	0	4	2	0	8	24	1	0	0	5	3	0	0	143	45	14	0	0	0	2	3	5	0	2	3	8	2	41	2	6	3	4	1	0	2	1	0	0	10	21	1	4	0	0	0	170	0	0	13	0	0	0	0	4	10	0	3	2	2	8	3	0	0	0	0	0	7	33	8	0	3	0	0	12	1	0	0	1	0	2	13	3	1	36	60	3	1	3	37	0	10	37	2	11	0	0	0	10	1	0	0	1	0	15	1	0	0	0	1	16	3	7	0	0	5	0	0	0	2	0	7	0	5	0	7	4	0	19	0	1	2	3	0	36	0	7	56	0	0	13	0	9	3	0	29	0	0	4	38	0	6	1	2	2
NR_024750.1_Coprococcus_catus_strain_VPI-C6-61_16S_ribosomal_RNA_gene__partial_sequence	36	0	0	0	4	6	3	7	24	62	16	37	1	11	19	1	16	19	20	17	13	14	26	33	26	20	32	3	100	39	0	11	10	6	16	26	1	51	5	7	26	3	20	9	6	3	16	9	27	4	0	9	28	15	27	0	0	0	59	14	0	8	0	10	21	24	5	25	7	0	9	70	22	10	0	0	34	2	8	7	8	8	1	2	5	0	9	15	2	12	11	2	6	63	52	47	41	0	17	11	7	11	12	6	39	17	25	8	3	12	3	14	1	13	8	2	7	5	3	0	5	1	12	16	82	5	4	16	8	21	0	6	7	1	38	12	2	11	16	0	10	11	2	1	21	10	2	4	2	19	0	9	23	4	3	0	5	0	0	0	2	33	21	5	0	0	7
NR_024661.1_Eubacterium_ruminantium_strain_GA195_16S_ribosomal_RNA_gene__partial_sequence	22	0	9	0	0	0	0	392	9	0	3	0	0	0	438	25	0	0	1	0	0	29	0	0	0	0	0	5	336	1	0	0	0	311	0	34	0	0	21	0	56	0	170	0	0	247	0	0	0	0	0	56	1	0	54	0	0	0	0	153	0	37	0	0	1	13	0	0	45	38	0	11	66	2	0	0	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	1	0	41	0	285	127	0	0	0	8	0	0	0	0	4	0	151	0	0	29	2	0	0	3	0	2	0	1	0	0	0	9	0	14	2	0	0	198	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	2	0	4	0	0	0	175	1	0	0	0	0	2	0	0	0	200	92	0	0	0
NR_024733.1_Coprobacillus_cateniformis_strain_JCM_10604_16S_ribosomal_RNA_gene__partial_sequence	14	0	1	0	5	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	7	0	206	0	0	39	0	0	9	0	0	0	2	5	0	4	1	16	0	1	0	0	60	0	0	19	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	12	0	0	0	0	0	0	0	18	3	0	0	0	0	2	4	0	18	1	0	0	0	0	0	0	6	1	0	0	15	0	0	0	0	0	0	0	2	5	4	0	0	0	17	5	0	0	0	0	0	11	0	3	0	0	1	3	0	0	0	12	0	0	0	0	1	1	0	13	0	1	3	0	3	0	0	1	0	0	0	24	0	0	1	0	0	7	2	0	3	0	0	0
NR_024684.1_Eubacterium_nitritogenes_strain_JCM_6485_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NR_024719.1_{Clostridium}_hylemonae_strain_TN-272_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025025.1_Papillibacter_cinnamivorans_strain_CIN1_16S_ribosomal_RNA_gene__partial_sequence	2	0	0	0	1	3	3	0	28	4	1	16	1	0	1	1	1	4	30	0	1	16	7	9	18	1	27	1	4	0	0	2	12	0	0	4	2	17	1	1	5	5	0	0	11	0	9	0	2	38	0	4	0	29	4	0	0	1	4	1	0	0	0	1	20	2	3	3	0	1	2	1	13	1	2	2	3	1	0	4	2	2	114	5	6	0	1	6	4	0	2	0	2	8	6	3	4	1	0	0	5	2	6	1	1	4	5	6	0	1	1	5	0	2	1	4	2	2	39	0	6	2	6	17	0	0	0	2	2	4	0	2	7	0	1	12	0	0	6	0	0	1	9	0	0	1	10	4	8	2	0	4	2	0	1	9	1	0	0	0	2	1	4	0	2	0	1
