#SampleID	Var
SRR521177	Penicillin
SRR521196	Penicillin
SRR521173	Control
SRR521188	Penicillin
SRR521174	Penicillin
SRR521221	Chlortetracycline
SRR521178	Penicillin
SRR521187	VancomycinPenicillin
SRR521198	Penicillin
SRR521214	VancomycinPenicillin
SRR521250	VancomycinPenicillin
SRR521197	Penicillin
SRR521184	Vancomycin
SRR521207	VancomycinPenicillin
SRR521175	Vancomycin
SRR521205	VancomycinPenicillin
SRR521191	Control
SRR521190	Penicillin
SRR518987	Control
SRR521225	Chlortetracycline
SRR521211	Chlortetracycline
SRR521215	Chlortetracycline
SRR521227	VancomycinPenicillin
SRR515153	Control
SRR521189	Vancomycin
SRR521220	VancomycinPenicillin
SRR521226	VancomycinPenicillin
SRR521185	Control
SRR521182	Vancomycin
SRR521179	Control
SRR521183	Penicillin
SRR521194	Control
SRR521193	Control
SRR521192	Vancomycin
SRR521219	Chlortetracycline
SRR521176	Vancomycin
SRR521180	Vancomycin
SRR521172	Control
SRR521203	Chlortetracycline
SRR521181	Vancomycin
SRR521200	Penicillin
SRR521199	Vancomycin
SRR521195	Vancomycin
SRR521213	VancomycinPenicillin
SRR521222	VancomycinPenicillin
SRR521212	Chlortetracycline
SRR521186	Control
