#OTU ID	82S3MNBY.518050	C0241.T.518067	OTGGZN5Y.518063	OTGGZAZO.518108	C0240.N.518020	QFHRSNIH.518116	C0195.N.518110	5TA9VAT9.518088	5TA9VN6K.518161	C0374.N.518099	C0241.N.518043	UZ65XN27.518028	C0195.T.517986	82S3MAZ4.518145	59S9WAIH.518013	C0252.N.518016	C0275.T.518032	C0378.N.518158	C10.S.517995	C0371.N.518009	C0398.N.518152	C0344.N.518103	C0285.N.518084	C0294.N.517987	C0395.T.518075	GQ6LSNI6.518106	C0325.T.518083	C0315.N.518021	C0270.T.518163	C0366.N.518094	C0258.T.517997	C0349.N.517989	6G2KBNS6.518045	C0134.N.518072	JIDZEAPD.518149	C0399.N.518011	C0395.N.518054	LRQ9WN6C.518048	C0154.N.518002	C0349.T.518111	C0206.N.518065	C0355.T.518157	R8J9ZAGC.518059	TV28INUO.518004	C0225.N.518047	59S9WNC6.518055	C4.S.518169	UEL2GN92.518058	6G2KBASQ.517999	C0311.T.518131	G2OD5N55.518146	C0341.N.518101	C0394.N.518031	5EKFOAO4.518164	UEL2GAPI.518173	C0306.T.518122	KIXFRARY.518160	UZ65XAS5.518119	R8J9ZNOW.518040	C0371.T.518139	C0399.T.518153	C0285.T.518044	C0282.N.518138	C0335.N.518107	C0271.N.518022	C0269.N.518130	C0374.T.518127	C4.T.518118	C0268.N.518089	C0258.N.518014	C0230.N.517992	C0366.T.518172	KIXFRNL2.518129	C0322.N.518165	C0388.N.518136	C0230.T.518144	C0134.T.517988	C0186.N.518143	XZ33PA3O.518135	C0225.T.518033	5EKFONB3.518125	C0159.N.518042	HZIMMNL5.518062	C0362.N.518069	C0095.N.518123	MQETMNL4.518037	C0211.T.518096	GQ6LSABJ.518010	C0344.T.518029	C0341.T.518113	HZIMMAM6.518095	C0095.T.518141	C0198.N.518081	C0149.T.518132	C0294.T.518134	C0362.T.518026	JIDZEN4J.518073	C0318.T.518140	LRQ9WAHA.518036	C0149.N.518039	C0332.T.518017	C0308.N.518154	G2OD5ABL.518057	C0355.N.518077	C0388.T.518015	C0133.N.518051	C0318.N.518105	C0269.T.518150	C0198.T.518166	C0212.T.518155	C0325.N.518109	MQETMAZC.518171	C0342.N.518068	C0245.T.518151	32I9UNA9.518098	TV28IANZ.518070	C0378.T.518104	38U4VNBW.518090	A8A34NCW.518023	C0330.N.518148	41E1KAMA.517991	O436FAO8.518097	32I9UAPQ.518112	C0159.T.518087	G3UBQNDP.518121	C0256.N.518170	C0212.N.518167	C6.S.518082	MQE9OAS7.518008	A8A34AP9.518086	C0268.T.518114	C0209.T.518128	C0240.T.518052	C0330.T.518035	G3UBQAJU.518060	C0306.N.518003	QFHRSAG2.518005	UTWNWANU.518168	XBS5MA8H.517990	38U4VAHB.518100	BFJMKAKB.518159	C0209.N.517984	MQE9ONGV.518038	C0333.N.518126	YOTV6NC8.518156	C0271.T.518078	C0133.T.518133	C0334.N.518066	C0206.T.518053	C1.T.518120	C0211.N.518117	XZ33PN7O.518030	C0334.T.518147	C0342.T.518093	C0333.T.518046	C10.T.518056	YOTV6ASH.518142	C0252.T.518006	C0282.T.518000	I7ROLN9P.518079	C0394.T.518064	C0112.T.518024	C0186.T.518019	C0270.N.518041	C0311.N.518124	C0322.T.518018	C0335.T.518115	C0256.T.518080	C0275.N.518076	41E1KNBP.517985	XBS5MNEH.518074	C0112.N.518001	UTWNWN3P.518012	8XBKGN9F.518085	C0154.T.518091	C0308.T.518162	C0332.N.518027	C6.T.518061	C0235.T.518049	C1.S.518137	C0235.N.517993	C0245.N.518071	C0315.T.518034	BFJMKNMP.518102	8XBKGABK.517998	C0314.T.518025	O436FNP3.518007	C0398.T.518092	C3.S.517996	C3.T.517994
NR_147398.1_Anaerotruncus_rubiinfantis_strain_MT15_16S_ribosomal_RNA__partial_sequence	228	2	194	19	0	25	0	6	55	5	3	197	0	449	0	48	3	31	9	5	2	1	3	33	3	15	0	8	0	2	4	0	0	44	19	7	3	4	1	1	10	6	11	6	3	0	12	4	0	0	3	4	10	6	0	1	309	61	3	2	1	0	12	5	298	24	2	2	6	8	3	0	1	6	59	3	0	7	0	1	11	5	5	0	0	0	19	6	1	3	2	0	0	9	5	0	21	7	177	23	1	75	1	8	35	17	42	8	0	2	3	0	81	18	0	0	3	3	5	1	3	0	0	3	0	6	3	4	0	6	2	0	1	1	0	5	19	0	0	6	0	0	11	37	18	36	0	3	0	9	48	20	0	9	2	0	3	3	0	0	0	1	3	1	0	2	1	0	0	0	0	4	0	0	0	12	2	3	0	36	0	9	0	0	2	1	0	0	0	0
NR_041364.1_Prevotella_stercorea_strain_CB35_16S_ribosomal_RNA_gene__partial_sequence	530	348	772	1402	596	271	1620	1021	1939	0	1931	277	179	311	454	317	1	81	0	0	2	0	0	3	0	0	0	0	1	0	1	0	0	1287	0	1	0	0	0	0	1	0	0	5	11	258	0	13	2	36	0	0	21	0	0	0	233	132	0	1	0	0	6	0	11	3	0	0	177	3	63	0	0	0	0	97	776	0	0	0	1	0	0	0	0	1	1	0	0	0	0	9	133	3	0	0	0	0	158	5	0	0	0	0	1	25	0	0	0	44	1	0	0	0	0	0	0	0	24	0	0	0	0	0	1	25	1174	0	0	43	5	244	896	0	0	0	141	0	0	0	0	996	0	0	325	0	0	0	1	0	0	0	0	0	0	0	52	11	1	1	0	7	0	18	26	2	0	0	1	4	0	0	6	1	4	3	0	0	6	0	12	1	1	6	2	0	0	0	0	0
NR_028961.1_Faecalibacterium_prausnitzii_strain_ATCC_27768_16S_ribosomal_RNA_gene__partial_sequence	6	83	94	8	720	92	976	380	1826	412	321	138	32	1	247	428	7	761	500	927	233	518	498	172	36	1366	238	955	45	760	958	490	385	254	107	866	409	49	1048	39	43	89	19	85	530	526	375	1438	222	128	275	344	452	131	1566	37	260	38	37	327	149	216	118	1320	202	262	26	75	160	697	26	725	31	232	589	18	0	602	1	101	280	414	395	78	292	124	119	1174	147	35	346	133	108	209	58	7	94	75	188	492	95	244	305	209	199	90	359	69	197	16	331	51	1126	56	0	21	124	0	15	43	1	1	0	129	104	512	242	40	2	20	37	278	477	36	18	438	59	1259	0	0	0	1166	8	750	156	44	10	236	7	38	327	149	576	38	119	45	30	32	30	661	44	10	711	222	104	69	379	56	180	19	0	71	1019	0	80	60	156	18	7	85	89	18	43	0	2	7	8	5	0	0
NR_026204.1_{Clostridium}_viride_strain_T2-7_16S_ribosomal_RNA_gene__partial_sequence	13	2	13	5	3	26	0	1	0	5	17	17	1	2	0	16	4	24	5	3	3	9	0	8	1	21	2	0	2	7	7	8	4	9	12	21	2	1	1	6	3	3	13	13	1	0	3	5	4	0	1	9	1	3	28	0	13	4	21	0	0	0	0	4	12	16	0	0	4	3	3	2	0	3	1	0	0	2	3	0	8	2	4	2	0	1	3	17	0	0	2	1	3	8	4	0	13	1	7	7	0	10	0	5	3	8	7	2	0	0	0	0	25	3	0	7	3	26	35	2	5	0	0	0	1	5	5	1	0	44	0	3	0	4	0	1	10	0	0	27	0	11	0	10	35	2	1	2	0	1	9	6	3	2	2	2	5	0	1	0	0	0	1	8	0	0	3	2	5	23	0	3	0	0	0	3	2	0	0	5	0	1	0	0	0	0	0	0	0	0
NR_025796.1_{Clostridium}_jejuense_strain_HY-35-12_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	0	0	0	0	0	0	5	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	25	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	21	0	0	0	1	72	0	0	0	4	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	12	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	5	0	0	4	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NR_024906.1_Enterococcus_mundtii_strain_ATCC_43186_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	4	177	0	2	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	177	0	9	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	38	0	0	0	0	1	0	0	0	4	0	0	0	3	0	0	0	1	0	0	0	73	79	354	0	420	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	12	2903	1	42	0	0	0	0	0	1	0	0	0	0	98	0	0	0	0	0	0
NR_024815.1_Prevotella_shahii_strain_EHS11_16S_ribosomal_RNA_gene__partial_sequence	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024782.1_Diaphorobacter_nitroreducens_strain_NA10B_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	11	0	0	0	0	0	1	0	0	1	3	0	0	0	0	21	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	5	0	0	1	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	6	0	125	1	0	0	1	0	0	1	0	0	0
NR_024661.1_Eubacterium_ruminantium_strain_GA195_16S_ribosomal_RNA_gene__partial_sequence	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	0	0	0	9	1	0	0	0	0	8	4	4	12	0	0	2	0	0	3	0	7	12	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1	0	0	0	0	0	0	0	4	0	0	20	0	0	4	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024642.1_Lelliottia_amnigena_strain_JCM1237_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024641.1_Pluralibacter_gergoviae_strain_JCM1234_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024644.1_Serratia_rubidaea_strain_JCM1240_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
