project.name	project.id	v.region	target.size	raw.data.source	num.samples	num.subjects	study.design.notes	area	attribute.data.type	attributes.values	short.desc	long.desc	literature.source	sequencing.technology	study.design	num.attributes	tasks	percent.db.hits
Wu 2011	bushman_cafe	V12	311	https://qiita.ucsd.edu/ 1010	95	10	"Subset by DAY (subject ID B.2004.08.S1.405610, see the "".08"" means day 7)"	Diet	Categorical	"DIET: HighFat, LowFat; DAY: 01 to 10"	Controlled HighFat or LowFat feeding on 10 subjects over 10 days		http://www.sciencemag.org/content/334/6052/105.short	454	Longitudinal			
Dethlefsen 2011	dethlefsen	V13	507	https://qiita.ucsd.edu/ 494	203	3	SampleID contains sample date	Antibiotics	Categorical	"HOST_SUBJECT_ID: F, E, D; ANTIBIOTIC: preCp, Interim, SecondCp, FirstWPC, FirstCp, PostCp, SecondWPC; COLLECTION_DATE"	"3 subjects before and after antibiotic usage, 52-56 timepoints per subject over 6 months"		http://www.ncbi.nlm.nih.gov/pubmed/20847294	454	Longitudinal			
Turnbaugh 2009	turnbaugh_twins	V2	330	https://qiita.ucsd.edu/ 77	281	154	Control for SAMPLEDATE (two timepoints available)	Obesity	Categorical	"OBESITYCAT: Lean, Overweight, Obese; TWIN_MOTHER: Twin, Mother; ZYGOSITY: DZ, MZ, NA"	"31 monozygotic twin pairs, 23 dizygotic twin pairs, and 46 mothers"		http://www.ncbi.nlm.nih.gov/pubmed/19043404	454	Cross-Sectional			
Cho 2012	cho	V3	177	https://www.ncbi.nlm.nih.gov/bioproject/168618	95	47	Control for Source (sample type)	Antibiotics	Categorical	"Abx: Control, Penicillin, Chlortetracycline, Vancomycin, VancomycinPenicillin; Source: cecal, fecal"	"Mouse fecal and cecal samples, Control vs. 4 kinds of antibiotics"		http://www.ncbi.nlm.nih.gov/pubmed/22914093	454	Cross-Sectional			
HMP 2012	hmp	V35	569	https://qiita.ucsd.edu/ 969	6407	242 or 238?	Control for HOST_SUBJECT_ID	"Body Habitat, Gender"	Categorical	"SEX: female, male; HMPBODYSUBSITE: Tongue_dorsum, Left_Antecubital_fossa, Left_Retroauricular_crease, Anterior_nares, Subgingival_plaque, Hard_palate, Posterior_fornix, Stool, Throat, Right_Retroauricular_crease, Mid_vagina, Buccal_mucosa, Vaginal_introitus, Saliva, Right_Antecubital_fossa, Supragingival_plaque, Palatine_Tonsils, Attached_Keratinized_gingiva; HMPBODYSUPERSITE: Oral, Skin, Airways, Urogenital_tract, Gastrointestinal_tract"	Up to 18 body sites across 242 healthy subjects at 1-2 time points		http://www.nature.com/nature/journal/v486/n7402/full/nature11234.html	454	Cross-Sectional			
Kostic 2012	kostic	V35	569	https://qiita.ucsd.edu/ 1457	190	95	Control for HOST_SUBJECT_ID	Colorectal Cancer	Categorical	"DIAGNOSIS: Healthy, Tumor"	Adjacent Healthy vs. Tumor Colon Biopsy Tissues		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266036/	454	Paired			
Morgan 2012	sokol	V35	569	https://qiita.ucsd.edu/ 1460	231	231	Subset by BODY_SITE	IBD	Categorical	"ULCERATIVE_COLIT_OR_CROHNS_DIS: Crohn's disease, Healthy, Ulcerative Colitis; BODY_SITE: UBERON:ileal mucosa, UBERON:feces, UBERON:mucosa of descending colon"	Healthy vs. CD vs. UC		https://genomebiology.biomedcentral.com/articles/10.1186/gb-2012-13-9-r79	454	Cross-Sectional			
Yatsunenko 2012	yatsunenko	V4	282	http://metagenomics.anl.gov/metagenomics.cgi?page=MetagenomeProject&project=401	531	531	Subset by AGE > 3 and AGE <= 3	"Geography, Age, Gender"	"Categorical, Continuous"	"COUNTRY: GAZ:Venezuela, GAZ:United States of America, GAZ:Malawi; AGE: continuous"	"USA vs. Malwai vs. Venezuela, Age"		http://www.ncbi.nlm.nih.gov/pubmed/22699611	Illumina	Cross-Sectional			
David 2014	david	V4	282	http://metagenomics.anl.gov/metagenomics.cgi?page=MetagenomeProject&project=6248	235	11	"Subset by day (e.g. Day == 4), control for SubjectFood (subject ID), ignore food samples"	Diet	"Categorical, Integer"	"Diet: Plant, Animal; Day: -4 to -1 (baseline), 0 to 4 (diet), 5 to 10 (washout)"	"Plant-based vs. Animal-based diet, Cross-over study"		http://www.nature.com/nature/journal/v505/n7484/full/nature12820.html	Illumina	Longitudinal			
Gevers 2014	gevers	V4	282	https://qiita.ucsd.edu/ 1939	1321	668	Subset by BODY_SITE	IBD	Categorical	"DIAGNOSIS: no, IC, CD, UC; BODY_SITE: UBERON:feces, UBERON:rectum, UBERON:colon, UBERON:ileum;"			https://www.ncbi.nlm.nih.gov/pubmed/24629344	Illumina	Cross-Sectional			
Claesson 2012	claesson	V4	282	https://qiita.ucsd.edu/ 486	178	178		Age	Categorical	"AGE: elderly, young"	elderly vs young		https://www.ncbi.nlm.nih.gov/pubmed/22797518	454	Cross-Sectional			
Montassier 2016	bacteremia	V56	280	https://www.ncbi.nlm.nih.gov/sra/SRX733464	28	28		Bacteremia	Categorical	"Treatment: NObact, bact"	Bacteremia vs no bacteremia		https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-016-0301-4	454	Cross-Sectional			
Sample Size too Small (n=10)	ridaura	V2	330	https://qiita.ucsd.edu/	10	10		Obesity	Categorical		Lean vs. Obese Mice (FMT from 4 pairs of human twins into groups of 3-4 mice)		http://www.sciencemag.org/content/341/6150/1241214		Cross-Sectional			
