#OTU ID	035-1	039-1	040-1	011-1	038-1	023-1	047-1	057-1	030-1	055-1	024-1	052-1	046-1	026-1	029-1	033-1	050-1	043-1	034-1	041-1	021-1	037-1	051-1	014-1	007-1	028-1	044-1	027-1
NR_028997.1_Subdoligranulum_variabile_strain_BI_114_16S_ribosomal_RNA_gene__partial_sequence	401	116	585	2	108	17	597	194	39	1	232	0	42	773	22	12	0	297	56	40	14	32	82	1	1	38	17	7
NR_024750.1_Coprococcus_catus_strain_VPI-C6-61_16S_ribosomal_RNA_gene__partial_sequence	92	1	60	0	5	37	16	76	6	0	60	19	7	2	6	15	0	37	18	136	31	16	10	1	0	0	7	0
NR_024670.1_Staphylococcus_vitulinus_strain_ATCC_51145_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024643.1_Enterobacter_aerogenes_strain_JCM1235_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	58	0	0	0	0	0	0	5	0	0	1	0	0	26	0	0	0	0	0	0	1	0	0	0	0
NR_024640.1_Enterobacter_asburiae_strain_JCM6051_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NR_024719.1_{Clostridium}_hylemonae_strain_TN-272_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	3	0	0	0	53	32	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	7	3
NR_024733.1_Coprobacillus_cateniformis_strain_JCM_10604_16S_ribosomal_RNA_gene__partial_sequence	15	0	33	0	7	2	0	9	0	24	12	0	2	6	17	1	0	1	0	8	0	2	4	0	0	2	0	0
NR_028883.1_Dorea_longicatena_strain_111-35_16S_ribosomal_RNA_gene__partial_sequence	880	560	77	2	102	32	396	287	210	80	188	294	81	311	103	30	0	208	489	1108	161	94	335	476	0	330	71	0
NR_026312.1_Blautia_schinkii_strain_B_16S_ribosomal_RNA_gene__complete_sequence	2	68	25	0	10	10	10	16	14	8	0	3	0	1	17	28	0	19	4	22	6	2	6	5	0	0	9	2
NR_025025.1_Papillibacter_cinnamivorans_strain_CIN1_16S_ribosomal_RNA_gene__partial_sequence	3	0	11	0	31	447	47	1152	559	2	1	11	4	0	59	47	0	46	66	74	109	850	42	0	0	0	16	0
NR_024794.1_Marinilactibacillus_psychrotolerans_strain_M13-2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024829.1_{Clostridium}_straminisolvens_strain_CSK1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
NR_024952.1_Slackia_exigua_strain_ATCC_700122_16S_ribosomal_RNA_gene__partial_sequence	0	0	1	0	1	0	0	3	1	0	0	3	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	1
NR_025930.1_Ruminococcus_bromii_strain_ATCC_27255_16S_ribosomal_RNA_gene__partial_sequence	136	340	9	1	13	79	262	196	199	263	125	72	5	7	34	114	0	71	57	1148	198	2032	481	40	36	17	109	3
NR_025206.1_Hespellia_porcina_strain_PC80_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025101.1_Corynebacterium_casei_strain_LMG_S-19264_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	2	0	3	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025098.1_Microbacterium_gubbeenense_strain_LMG_S-19263_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025863.1_Abiotrophia_defectiva_strain_GIFU_12707_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23
NR_025796.1_{Clostridium}_jejuense_strain_HY-35-12_16S_ribosomal_RNA_gene__partial_sequence	0	0	1	0	0	0	0	2	0	0	4	0	0	5	0	35	0	0	0	6	0	0	3	0	0	0	1	0
NR_025651.1_{Clostridium}_lactatifermentans_strain_G17_16S_ribosomal_RNA_gene__partial_sequence	16	9	1	0	1	3	1	0	22	19	0	0	31	0	0	23	0	4	12	30	0	20	1	0	0	2	0	0
